authors,title,pub_date,source,doi,abstract,rank,url
Ju Hong Kim,THE MAXIMAL PRIOR SET IN THE REPRESENTATION OF COHERENT RISK MEASURE,2016-11-30 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.7468/JKSMEB.2016.23.4.377,"The set of priors in the representation of coherent risk measure is expressed in terms of quantile function and increasing concave function. We show that the set of prior, Qc in (1.2) is equal to the set of Qm in (1.6), as maximal representing set Qmax defined in (1.7).",0,"https://www.semanticscholar.org/paper/5c0f3ae5650918813f339bfee61a36c7d1b95b7f
http://society.kisti.re.kr/sv/SV_svpsbs03V.do?method=download&cn1=JAKO201608259726729"
"Patel, H.,Hapani, K.,Dave, J.",Stakeholders’ perspective in implementation of additional risk minimisation measures: Reflection on challenges &amp; solutions,2020-03-02 00:00:00,SupportedSources.CROSSREF,10.26226/morressier.5e20352214799ab1e7e07b0a,,1,http://dx.doi.org/10.26226/morressier.5e20352214799ab1e7e07b0a
"Strbac, Goran,Tindemans, Simon H.",Robust estimation of risks from small samples,2017-04-05 00:00:00,SupportedSources.CORE,10.1098/rsta.2016.0299,"Data-driven risk analysis involves the inference of probability distributions
from measured or simulated data. In the case of a highly reliable system, such
as the electricity grid, the amount of relevant data is often exceedingly
limited, but the impact of estimation errors may be very large. This paper
presents a robust nonparametric Bayesian method to infer possible underlying
distributions. The method obtains rigorous error bounds even for small samples
taken from ill-behaved distributions. The approach taken has a natural
interpretation in terms of the intervals between ordered observations, where
allocation of probability mass across intervals is well-specified, but the
location of that mass within each interval is unconstrained. This formulation
gives rise to a straightforward computational resampling method: Bayesian
Interval Sampling. In a comparison with common alternative approaches, it is
shown to satisfy strict error bounds even for ill-behaved distributions.Comment: 13 pages, 3 figures; supplementary information provided. A revised
  version of this manuscript has been accepted for publication in Philosophical
  Transactions of the Royal Society A: Mathematical, Physical and Engineering
  Science",2,https://core.ac.uk/download/82985284.pdf
"L. Cronbach,P. Meehl",Construct validity in psychological tests.,None,SupportedSources.SEMANTIC_SCHOLAR,10.1037/H0040957,"Validation of psychological tests has not yet been adequately conceptualized, as the APA Committee on Psychological Tests learned when it undertook (1950-54) to specify what qualities should be investigated before a test is published. In order to make coherent recommendations the Committee found it necessary to distinguish four types of validity, established by different types of research and requiring different interpretation. The chief innovation in the Committee's report was the term construct validity.[2] This idea was first formulated by a subcommittee (Meehl and R. C. Challman) studying how proposed recommendations would apply to projective techniques, and later modified and clarified by the entire Committee (Bordin, Challman, Conrad, Humphreys, Super, and the present writers). The statements agreed upon by the Committee (and by committees of two other associations) were published in the Technical Recommendations (59). The present interpretation of construct validity is not ""official"" and deals with some areas where the Committee would probably not be unanimous. The present writers are solely responsible for this attempt to explain the concept and elaborate its implications.",3,"https://www.semanticscholar.org/paper/4ad27aca9e99022f7bad613ea690507bf618172d
http://conservancy.umn.edu/bitstream/11299/184279/1/1_07_Cronbach.pdf"
"Kavitha Mediratta,Sara McAlister,Seema Shah",Building a Campaign for Reading Reform in Miami,2009-09-09 00:00:00,SupportedSources.CORE,,"Presents a case study of community organizing for school reform by Miami's People Acting for Community Together: how its campaign for a new literacy program shaped leadership development, district-level policy, school-level capacity, and student outcomes",4,https://core.ac.uk/download/71347279.pdf
"S. Thekdi,J. Santos",Supply Chain Vulnerability Analysis Using Scenario‐Based Input‐Output Modeling: Application to Port Operations,2016-05-01 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.1111/risa.12473,"Disruptive events such as natural disasters, loss or reduction of resources, work stoppages, and emergent conditions have potential to propagate economic losses across trade networks. In particular, disruptions to the operation of container port activity can be detrimental for international trade and commerce. Risk assessment should anticipate the impact of port operation disruptions with consideration of how priorities change due to uncertain scenarios and guide investments that are effective and feasible for implementation. Priorities for protective measures and continuity of operations planning must consider the economic impact of such disruptions across a variety of scenarios. This article introduces new performance metrics to characterize resiliency in interdependency modeling and also integrates scenario‐based methods to measure economic sensitivity to sudden‐onset disruptions. The methods will be demonstrated on a U.S. port responsible for handling $36.1 billion of cargo annually. The methods will be useful to port management, private industry supply chain planning, and transportation infrastructure management.",5,https://www.semanticscholar.org/paper/303c28a53f7091a60d9d13020175bb20fc595201
"Álvaro Labella,K. Koasidis,A. Nikas,A. Arsenopoulos,H. Doukas",APOLLO: A Fuzzy Multi-criteria Group Decision-Making Tool in Support of Climate Policy,2020-10-01 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.2991/IJCIS.D.200924.002,"Multi-criteria decision-making is a daily process in everyday life, in which different alternatives are evaluated over a set of conflicting criteria. Decision-making is becoming increasingly complex, and the apparition of uncertainty and vagueness is inevitable, especially when related to sustainability issues. To model such lack of information, decision makers often use linguistic information to express their opinions, closer to their way of thinking, giving place to linguistic decision-making. However, the participation of multiple experts usually involves disagreements within the group, leading to unreliable solutions. To assist in decision-making and reduce such complexities, A grouP decisiOn fuzzy TOoL in support of cLimate change pOlicy making (APOLLO), a fuzzy decision support system, is introduced to deal with such problems in climate change and policy. The tool implements a framework for group decision-making, using 2-tuple Technique for Order Preference by Similarity to Ideal Solution (TOPSIS), coupled with a new consensus measuring model to increase robustness of selected solutions. The operation of the software tool is showcased in a real case carried out in Austria, where stakeholders were asked to assess the risks embedded in pathways for decarbonizing the country’s iron and steel sector. Results indicate that a coherent strategy addressing funding and competition issues is necessary, with experts displaying a consensus level of 85% in that these risks are the most threatening for the transition.",6,"https://www.semanticscholar.org/paper/86e24cb83cbb0c0254ab8d47b45f1a35daa2070a
https://www.atlantis-press.com/article/125944792.pdf"
Ahmed Kamal,Assessment of Autonomic Function in Children with Autism and Normal Children Using Spectral Analysis and Posture Entrainment: A Pilot Study,2015-01-01 00:00:00,SupportedSources.INTERNET_ARCHIVE,10.21767/2171-6625.100037,"Objective: The dysfunction of the autonomic nervous system investigated in Children with Autism compared with healthy one. Cardiovascular autonomic disturbances are possibly associated with the pathogenesis of Autism in children. The purpose of this study is to use the spectral and coherence analysis of heart rate variability signal (HRV), respiration signal and peripheral blood flow signal (PBF) to assess the autonomic activity of normal children and children with Autism for the clinical usefulness of the applied methods of signal processing and timefrequency analysis for screening and treatment of Autism in children. Methods: Twenty four children who had Autism and who were not taking any medications and Twenty three age and sex matched controls (Children) were participated in this study . PBF and respiration signals as well as HRV signal derived from Electrocardiogram (ECG) were measured during supine and standing positions. Autopower, cross power and coherence spectra were produced to investigate the sympathetic and parasympathetic activity in both groups. Results: The results clearly indicate that in children with Autism, the coherence values are less than in control group in both low frequency (LF) and high frequency (HF) bands at coherence spectra between HRV and PBF as well as HRV and respiration in both supine and standing position. Also, the ratio of amplitude at nearly frequency of 0.",7,https://web.archive.org/web/20170812073137/http://www.jneuro.com/neurology-neuroscience/assessment-of-autonomic-function-in-children-with-autism-and-normal-children-using-spectral-analysis-and-posture-entrainment-a-pilot-study.pdf
A. Włodarczyk,Koherentne miary ryzyka w zarządzaniu ryzykiem cen uprawnień do emisji CO2 w przedsiębiorstwach objętych systemem EU ETS,None,SupportedSources.SEMANTIC_SCHOLAR,10.29119/1641-3466.2018.113.42,"Managing the European Emission Allowances (EUA) price risk is becoming increasingly important for companies covered by the European Union Emissions Trading Scheme (EU ETS). The increase in the price volatility of the CO2 allowances in the secondary market and the reduction in the amount of free carbon emissions allowances, which are granted to companies, cause the increase in companies' exposure to price risk. The aim of this article is to present the concept of coherent risk measures and to compare the differences in the EUA futures portfolio risk assessment by means of two different measures: Expected Shortfall and Value at Risk.",8,https://www.semanticscholar.org/paper/83215fadabc9ecd4eebe6b65c07ca9db06762d0f
"Crowther, Michael J,Morris, Tim P,White, Ian R",Using simulation studies to evaluate statistical methods,2018-12-05 00:00:00,SupportedSources.CORE,10.1002/sim.8086,"Simulation studies are computer experiments that involve creating data by
pseudorandom sampling. The key strength of simulation studies is the ability to
understand the behaviour of statistical methods because some 'truth' (usually
some parameter/s of interest) is known from the process of generating the data.
This allows us to consider properties of methods, such as bias. While widely
used, simulation studies are often poorly designed, analysed and reported. This
tutorial outlines the rationale for using simulation studies and offers
guidance for design, execution, analysis, reporting and presentation. In
particular, this tutorial provides: a structured approach for planning and
reporting simulation studies, which involves defining aims, data-generating
mechanisms, estimands, methods and performance measures ('ADEMP'); coherent
terminology for simulation studies; guidance on coding simulation studies; a
critical discussion of key performance measures and their estimation; guidance
on structuring tabular and graphical presentation of results; and new graphical
presentations. With a view to describing recent practice, we review 100
articles taken from Volume 34 of Statistics in Medicine that included at least
one simulation study and identify areas for improvement.Comment: 31 pages, 9 figures (2 in appendix), 8 tables (1 in appendix",9,https://core.ac.uk/download/195314086.pdf
