authors,title,pub_date,source,doi,abstract,rank,url
Panos M. Pardalos,On Some Aspects of Coherent Risk Measures and their Applications,2011-08-04 00:00:00,SupportedSources.OPENALEX,,,0,https://openalex.org/W2097512955
,Coherent measures of risk,2014-08-07 00:00:00,SupportedSources.CROSSREF,10.1017/cbo9781139017398.009,,1,"https://www.cambridge.org/core/services/aop-cambridge-core/content/view/62425CFD8F05E65FBB54540115C04F79
http://dx.doi.org/10.1017/cbo9781139017398.009"
"Artzner, P.,Delbaen, F.,Eber, J.,Heath, D.",Coherent Measures of Risk,2002-01-10 00:00:00,SupportedSources.CROSSREF,10.1017/cbo9780511615337.007,,2,"https://www.cambridge.org/core/services/aop-cambridge-core/content/view/1CD8316F03C59B1DFEECAA0B87CA2820
http://dx.doi.org/10.1017/cbo9780511615337.007"
,Coherent Risk Metrics,None,SupportedSources.CROSSREF,10.1057/9781137448200.0031,,3,http://dx.doi.org/10.1057/9781137448200.0031
,Higher Moment Coherent Risk Measures,2008-12-22 00:00:00,SupportedSources.CROSSREF,10.1201/9781420081923.ch13,,4,http://dx.doi.org/10.1201/9781420081923.ch13
G. Trzpiot,Multivalued coherent risk measures,None,SupportedSources.SEMANTIC_SCHOLAR,,,5,https://www.semanticscholar.org/paper/0b5b7feb4799b520ca9741afa4596cf2a5edbd43
G. Stoica,Relevant coherent measures of risk,2006-09-01 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.1016/J.JMATECO.2006.03.006,,6,https://www.semanticscholar.org/paper/15d28ab41caa4112cca7050be546e6f2030f16d6
"Kirilyuk, V.",The Class of Polyhedral Coherent Risk Measures,2004-01-01 00:00:00,SupportedSources.CROSSREF,10.1023/b:casa.0000047881.82280.e2,,7,http://dx.doi.org/10.1023/b:casa.0000047881.82280.e2
"Hans Föllmer,Alexander Schied",Coherent and convex risk measures,2010-01-01 00:00:00,SupportedSources.OPENALEX,,,8,https://openalex.org/W2588440186
"W. Ogryczak,M. Opolska-Rutkowska",Coherent Risk Measures and Stochastic Dominance,None,SupportedSources.SEMANTIC_SCHOLAR,,,9,https://www.semanticscholar.org/paper/a4251db4e810b44694609e4c2a8e6169cb90a830
"Das, P.",Risk Modeling by Coherent Measure Using Family of Generalized Hyperbolic Distributions,2021-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-981-33-6973-3_11,,10,"https://link.springer.com/content/pdf/10.1007/978-981-33-6973-3_11
http://dx.doi.org/10.1007/978-981-33-6973-3_11"
Yuji Yoshida,Coherent Risk Measures Derived from Utility Functions,2018-10-15 00:00:00,SupportedSources.OPENALEX,10.1007/978-3-030-00202-2_2,,11,"https://openalex.org/W2890252705
https://doi.org/10.1007/978-3-030-00202-2_2"
A. Quaranta,Robust Optimization of a Coherent Risk Measure,None,SupportedSources.SEMANTIC_SCHOLAR,,,12,https://www.semanticscholar.org/paper/61d2b84f4a8adf51c80a030d2e68e2c2ac4e078d
"Benati, S.",Coherent Risk Measures and Linear Programming,2001-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-7908-1814-7_21,,13,"http://link.springer.com/content/pdf/10.1007/978-3-7908-1814-7_21.pdf
http://dx.doi.org/10.1007/978-3-7908-1814-7_21"
Antoine Jacquier,A Numerical Approach to Spectral Risk Measures,2008-01-01 00:00:00,SupportedSources.INTERNET_ARCHIVE,10.2139/ssrn.1281024,"We focus here on some very recent results obtained by Cherny and Madan (see [2], [3], [4], [5], [6], [7]) who developed a rigorous mathematical framework for the study of coherent risk measures. Our main contribution is to provide some numerical and empirical facts concerning spectral risk measures, with a particular emphasis on coherent acceptability indices proposed in [4] . One result, for instance, is that this index is infinite for distributions that are symmetric around 0.",14,https://web.archive.org/web/20200320161309/http://wwwf.imperial.ac.uk/~ajacquie/index_files/Jacquier%20-%20Risk%20measures.pdf
"Zhiping Chen,Qianhui Hu",On Coherent Risk Measures Induced by Convex Risk Measures,2018-06-01 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.1007/S11009-017-9584-1,,15,https://www.semanticscholar.org/paper/54dfd60f1cb22612d159c26f1fbe0306d749170e
