authors,title,pub_date,source,doi,abstract,rank,url
G. Trzpiot,Multivalued coherent risk measures,None,SupportedSources.SEMANTIC_SCHOLAR,,,0,https://www.semanticscholar.org/paper/0b5b7feb4799b520ca9741afa4596cf2a5edbd43
"Philippe Artzner,Freddy Delbaen,Jean-Marc Eber,David Heath",Coherent Measures of Risk,2002-01-01 00:00:00,SupportedSources.OPENALEX,10.1017/cbo9780511615337.007,,1,"https://openalex.org/W1568386005
https://doi.org/10.1017/cbo9780511615337.007"
,Coherent measures of risk,2014-08-07 00:00:00,SupportedSources.CROSSREF,10.1017/cbo9781139017398.009,,2,"https://www.cambridge.org/core/services/aop-cambridge-core/content/view/62425CFD8F05E65FBB54540115C04F79
http://dx.doi.org/10.1017/cbo9781139017398.009"
G. Trzpiot,Coherent Risk Measures in Multiperiod Models,None,SupportedSources.SEMANTIC_SCHOLAR,,,3,https://www.semanticscholar.org/paper/94033a15a5f7cfc3bb98b3ae484633a2a75a9232
"Stefan R. Jaschke,Uwe Küchler",Coherent risk measures and good-deal bounds,2001-04-01 00:00:00,SupportedSources.OPENALEX,10.1007/pl00013530,,4,"https://openalex.org/W2058297600
https://doi.org/10.1007/pl00013530"
Christos E. Kountzakis,Generalized Coherent Risk Measures,2009-01-01 00:00:00,SupportedSources.OPENALEX,,,5,https://openalex.org/W2513585482
"Massimiliano Bonetti,L. Bisi,Marcello Restelli",Risk-averse optimization of reward-based coherent risk measures,2023-01-01 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.1016/j.artint.2022.103845,,6,https://www.semanticscholar.org/paper/b3600d160dcb55d285eb7e21fe987322bec6db87
"Stoica, G.",Relevant coherent measures of risk,2006-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/j.jmateco.2006.03.006,,7,"https://api.elsevier.com/content/article/PII:S0304406806000723?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:S0304406806000723?httpAccept=text/plain
http://dx.doi.org/10.1016/j.jmateco.2006.03.006"
Ren Feng-yin,Coherent risk measure based on f-divergence,None,SupportedSources.SEMANTIC_SCHOLAR,,"The investigation for the coherent risk measures with entropy constraints is conducted,and because it has many good properties,the coherent risk measure with f-divergence constraints is presented.The study obtains a group of flexible risk measures and the methods to control the acceptable set of the coherent risk measure theory.In addition,its advantages used directly in optimization problems and the robustness of method are discussed.The new expression of coherent risk measure is obtained.It is the upper bound of CVaRand more tractable in applications.",8,https://www.semanticscholar.org/paper/377b889ef36997351b1a8409c52fa61fc8dde2dd
"Zhiping Chen,Qianhui Hu",On Coherent Risk Measures Induced by Convex Risk Measures,2018-06-01 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.1007/S11009-017-9584-1,,9,https://www.semanticscholar.org/paper/54dfd60f1cb22612d159c26f1fbe0306d749170e
"Bignozzi, V.,Tsanakas, A.,Wang, R.",How Superadditive Can a Risk Measure Be?,2015-01-01 00:00:00,SupportedSources.CORE,10.1137/140981046,"In this paper, we study the extent to which any risk measure can lead to superadditive risk assessments, implying the potential for penalizing portfolio diversification. For this purpose we introduce the notion of extreme-aggregation risk measures. The extreme-aggregation measure characterizes the most superadditive behavior of a risk measure, by yielding the worst-possible diversification ratio across dependence structures. One of the main contributions is demonstrating that, for a wide range of risk measures, the extreme-aggregation measure corresponds to the smallest dominating coherent risk measure. In our main result, it is shown that the extremeaggregation measure induced by a distortion risk measure is a coherent distortion risk measure. In the case of convex risk measures, a general robust representation of coherent extreme-aggregation measures is provided. In particular, the extreme-aggregation measure induced by a convex shortfall risk measure is a coherent expectile. These results show that, in the presence of dependence uncertainty, quantification of a coherent risk measure is often necessary, an observation that lends further support to the use of coherent risk measures in portfolio risk management",10,https://core.ac.uk/download/76981325.pdf
