authors,title,pub_date,source,doi,abstract,rank,url
"Lichters, R.,Stamm, R.,Gallagher, D.",Cross-Asset Scenario Generation,2015-01-01 00:00:00,SupportedSources.CROSSREF,10.1057/9781137494849_16,,0,"http://link.springer.com/content/pdf/10.1057/9781137494849_16
http://dx.doi.org/10.1057/9781137494849_16"
Feng-Wen An,"On the étale fundamental groups of arithmetic schemes, revised",2009-10-26 12:19:36+00:00,SupportedSources.ARXIV,,"In this paper we will give a computation of the \'{e}tale fundamental group
of an integral arithmetic scheme. For such a scheme, we will prove that the
\'{e}tale fundamental group is naturally isomorphic to the Galois group of the
maximal formally unramified extension over the function field. It consists of
the main theorem of the paper. Here, formally unramified will be proved to be
arithmetically unramified which is defined in an evident manner and coincides
with that in algebraic number theory. Hence, formally unramified has an
arithmetic sense. At the same time, such a computation coincides with the known
result for a normal noetherian scheme.",1,"http://arxiv.org/pdf/0910.4646v4
http://arxiv.org/abs/0910.4646v4
http://arxiv.org/pdf/0910.4646v4"
"Anna Ananova,Rama Cont,Renyuan Xu",Excursion Risk,2020-11-05 14:45:58+00:00,SupportedSources.ARXIV,,"The risk and return profiles of a broad class of dynamic trading strategies,
including pairs trading and other statistical arbitrage strategies, may be
characterized in terms of excursions of the market price of a portfolio away
from a reference level. We propose a mathematical framework for the risk
analysis of such strategies, based on a description in terms of price
excursions, first in a pathwise setting, without probabilistic assumptions,
then in a Markovian setting.
  We introduce the notion of delta-excursion, defined as a path which deviates
by delta from a reference level before returning to this level. We show that
every continuous path has a unique decomposition into delta-excursions, which
is useful for the scenario analysis of dynamic trading strategies, leading to
simple expressions for the number of trades, realized profit, maximum loss and
drawdown. As delta is decreased to zero, properties of this decomposition
relate to the local time of the path.
  When the underlying asset follows a Markov process, we combine these results
with Ito's excursion theory to obtain a tractable decomposition of the process
as a concatenation of independent delta-excursions, whose distribution is
described in terms of Ito's excursion measure. We provide analytical results
for linear diffusions and give new examples of stochastic processes for
flexible and tractable modeling of excursions. Finally, we describe a
non-parametric scenario simulation method for generating paths whose excursion
properties match those observed in empirical data.",2,"http://arxiv.org/pdf/2011.02870v1
http://arxiv.org/abs/2011.02870v1
http://arxiv.org/pdf/2011.02870v1"
"Sebastian Perez-Salazar,Mohit Singh,Alejandro Toriello",The IID Prophet Inequality with Limited Flexibility,2022-10-11 17:26:18+00:00,SupportedSources.ARXIV,,"In online sales, sellers usually offer each potential buyer a posted price in
a take-it-or-leave fashion. Buyers can sometimes see posted prices faced by
other buyers, and changing the price frequently could be considered unfair. The
literature on posted price mechanisms and prophet inequality problems has
studied the two extremes of pricing policies, the fixed price policy and fully
dynamic pricing. The former is suboptimal in revenue but is perceived as fairer
than the latter. This work examines the middle situation, where there are at
most $k$ distinct prices over the selling horizon. Using the framework of
prophet inequalities with independent and identically distributed random
variables, we propose a new prophet inequality for strategies that use at most
$k$ thresholds. We present asymptotic results in $k$ and results for small
values of $k$. For $k=2$ prices, we show an improvement of at least $11\%$ over
the best fixed-price solution. Moreover, $k=5$ prices suffice to guarantee
almost $99\%$ of the approximation factor obtained by a fully dynamic policy
that uses an arbitrary number of prices. From a technical standpoint, we use an
infinite-dimensional linear program in our analysis; this formulation could be
of independent interest to other online selection problems.",3,"http://arxiv.org/pdf/2210.05634v2
http://arxiv.org/abs/2210.05634v2
http://arxiv.org/pdf/2210.05634v2"
Jinlu Li,Infinitely Split Nash Equilibrium Problems in Repeated Games,2017-12-21 17:17:41+00:00,SupportedSources.ARXIV,,"In this paper, we introduce the concept of infinitely split Nash equilibrium
in repeated games in which the profile sets are chain-complete posets. Then by
using a fixed point theorem on posets in [8], we prove an existence theorem. As
an application, we study the repeated extended Bertrant duopoly model of price
competition.",4,"http://arxiv.org/pdf/1712.08509v1
http://arxiv.org/abs/1712.08509v1
http://arxiv.org/pdf/1712.08509v1"
Tom Fischer,A primer on reflexivity and price dynamics under systemic risk,2013-01-27 23:28:56+00:00,SupportedSources.ARXIV,,"A simple quantitative example of a reflexive feedback process and the
resulting price dynamics after an exogenous price shock to a financial network
is presented. Furthermore, an outline of a theory that connects financial
reflexivity, which stems from cross-ownership and delayed or incomplete
information, and no-arbitrage pricing theory under systemic risk is provided.",5,"http://arxiv.org/pdf/1301.6415v1
http://arxiv.org/abs/1301.6415v1
http://arxiv.org/pdf/1301.6415v1"
"Casabona, P.,Vora, A.",The Bias of Conventional Risk Premiums in Empirical Tests of the Capital Asset Pricing Model,1982-01-01 00:00:00,SupportedSources.CROSSREF,10.2307/3665029,,6,"http://api.wiley.com/onlinelibrary/tdm/v1/articles/10.2307%2F3665029
http://onlinelibrary.wiley.com/wol1/doi/10.2307/3665029/fullpdf
http://dx.doi.org/10.2307/3665029"
"Jan Kuklinski,Kevin Tyloo",Semi-analytic path integral solution of SABR and Heston equations: pricing Vanilla and Asian options,2016-05-01 20:50:32+00:00,SupportedSources.ARXIV,,"We discuss a semi-analytical method for solving SABR-type equations based on
path integrals. In this approach, one set of variables is integrated
analytically while the second set is integrated numerically via Monte-Carlo.
This method, known in the literature as Conditional Monte-Carlo, leads to
compact expressions functional on three correlated stochastic variables. The
methodology is practical and efficient when solving Vanilla pricing in the
SABR, Heston and Bates models with time depending parameters. Further, it can
also be practically applied to pricing Asian options in the $\beta=0$ SABR
model and to other $\beta=0$ type models.",7,"http://arxiv.org/pdf/1605.00307v1
http://arxiv.org/abs/1605.00307v1
http://arxiv.org/pdf/1605.00307v1"
Fabrizio Lillo,Limit order placement as an utility maximization problem and the origin of power law distribution of limit order prices,2006-12-01 14:11:34+00:00,SupportedSources.ARXIV,10.1140/epjb/e2007-00067-9,"I consider the problem of the optimal limit order price of a financial asset
in the framework of the maximization of the utility function of the investor.
The analytical solution of the problem gives insight on the origin of the
recently empirically observed power law distribution of limit order prices. In
the framework of the model, the most likely proximate cause of this power law
is a power law heterogeneity of traders' investment time horizons .",8,"http://arxiv.org/pdf/physics/0612016v1
http://dx.doi.org/10.1140/epjb/e2007-00067-9
http://arxiv.org/abs/physics/0612016v1
http://arxiv.org/pdf/physics/0612016v1"
"Djordjevic, M.",Consumption-based macroeconomic models of asset pricing theory,2016-01-01 00:00:00,SupportedSources.CROSSREF,10.2298/eka1611007d,,9,http://dx.doi.org/10.2298/eka1611007d
