authors,title,pub_date,source,doi,abstract,rank,url
"Koch-Medina, P.,Munari, C.",Fundamental Theorem of Asset Pricing,2020-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-030-39724-1_7,,0,"http://link.springer.com/content/pdf/10.1007/978-3-030-39724-1_7
http://dx.doi.org/10.1007/978-3-030-39724-1_7"
"Dybvig, H.,Ross, S.",The Fundamental Theorems of Asset Pricing,2003-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-0348-8041-1_11,,1,"http://link.springer.com/content/pdf/10.1007/978-3-0348-8041-1_11
http://dx.doi.org/10.1007/978-3-0348-8041-1_11"
"Johnson, T.",The Fundamental Theorem of Asset Pricing,2017-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-319-61039-9_11,,2,"http://link.springer.com/content/pdf/10.1007/978-3-319-61039-9_11
http://dx.doi.org/10.1007/978-3-319-61039-9_11"
"Elliott, R.,Kopp, P.",The Fundamental Theorem of Asset Pricing,1999-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-1-4757-7146-6_3,,3,"http://link.springer.com/content/pdf/10.1007/978-1-4757-7146-6_3
http://dx.doi.org/10.1007/978-1-4757-7146-6_3"
"Cassese*, G.",Yan Theorem in L                      ∞ with Applications to Asset Pricing,2007-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/s10255-007-0394,,4,"https://link.springer.com/content/pdf/10.1007/s10255-007-0394.pdf
https://link.springer.com/article/10.1007/s10255-007-0394/fulltext.html
http://link.springer.com/content/pdf/10.1007/s10255-007-0394
https://link.springer.com/content/pdf/10.1007/s10255-007-0394.pdf
http://dx.doi.org/10.1007/s10255-007-0394"
"Coenraad C. A. Labuschagnea,Theresa M. Offwooda",Fundamental Theorems of Asset Pricing,None,SupportedSources.SEMANTIC_SCHOLAR,10.1142/9789811209574_0003,"Mathematics of Finance, which in general involves finding appropriate pricing models for all types of financial instruments, has its foundations in two theorems, called the fundamental theorems of asset pricing. The first fundamental theorem of asset pricing relates the concept of No Arbitrage to the existence of a risk-neutral pricing measure and the second links market completeness with the uniquness of a pricing measure. This paper gives a brief overview of both fundamental theorems of asset pricing.",5,https://www.semanticscholar.org/paper/7186ff39a754b21b18b6f1ef69f9f2d93d54095c
Walter Schachermayer,The Fundamental Theorem of Asset Pricing,2013-06-11 00:00:00,SupportedSources.INTERNET_ARCHIVE,10.1142/9789814417358_0002,The subsequent theorem is one of the pillars supporting the modern theory of Mathematical Finance. Fundamental Theorem of Asset Pricing:,6,https://web.archive.org/web/20110401114420/http://www.mat.univie.ac.at/~schachermayer/pubs/preprnts/prpr0141a.pdf
"Rösch, D.",Asset Pricing bei Arbitragefreiheit,1998-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-663-08455-6_2,,7,"http://link.springer.com/content/pdf/10.1007/978-3-663-08455-6_2
http://dx.doi.org/10.1007/978-3-663-08455-6_2"
"KRAUS, A.,SAGI, J.",Asset pricing with unforeseen contingencies☆,2006-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/j.jfineco.2005.07.013,,8,"https://api.elsevier.com/content/article/PII:S0304405X06000705?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:S0304405X06000705?httpAccept=text/plain
http://dx.doi.org/10.1016/j.jfineco.2005.07.013"
"Zimmermann, H.",State-Preference Theorie und Asset Pricing,1998-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-642-58990-4,,9,"http://link.springer.com/content/pdf/10.1007/978-3-642-58990-4.pdf
http://link.springer.com/content/pdf/10.1007/978-3-642-58990-4
http://dx.doi.org/10.1007/978-3-642-58990-4"
"Dranev, Y.,Chupin, D.",COLOG Asset Pricing,2022-01-01 00:00:00,SupportedSources.CROSSREF,10.2139/ssrn.4198227,,10,http://dx.doi.org/10.2139/ssrn.4198227
"Cujean, J.,Jaeger, S.",Asset Pricing on FOMC Announcements,2023-01-01 00:00:00,SupportedSources.CROSSREF,10.2139/ssrn.4374963,,11,http://dx.doi.org/10.2139/ssrn.4374963
,No-Arbitrage Asset Pricing,2011-01-01 00:00:00,SupportedSources.CROSSREF,10.1142/9781848166332_0002,,12,http://dx.doi.org/10.1142/9781848166332_0002
"Poon, S.,Stapleton, R.",MULTI-PERIOD ASSET PRICING,2005-01-13 00:00:00,SupportedSources.CROSSREF,10.1093/0199271445.003.0005,,13,"https://academic.oup.com/book/chapter-pdf/44491321/book_36410_section_320102277.ag.pdf
http://dx.doi.org/10.1093/0199271445.003.0005"
"Antonelli, F.,Barucci, E.,Mancino, M.",Asset pricing with endogenous aspirations,2001-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/s102030170007,,14,"http://link.springer.com/content/pdf/10.1007/s102030170007.pdf
http://link.springer.com/article/10.1007/s102030170007/fulltext.html
http://link.springer.com/content/pdf/10.1007/s102030170007
http://dx.doi.org/10.1007/s102030170007"
"An, Y.,Su, Y.,Wang, C.",Flow-Based Asset Pricing,2022-01-01 00:00:00,SupportedSources.CROSSREF,10.2139/ssrn.4098609,,15,http://dx.doi.org/10.2139/ssrn.4098609
"Meyer, B.",Intertemporal Asset Pricing,1999-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-642-58672-9,,16,"http://link.springer.com/content/pdf/10.1007/978-3-642-58672-9.pdf
http://link.springer.com/content/pdf/10.1007/978-3-642-58672-9
http://dx.doi.org/10.1007/978-3-642-58672-9"
"Nicola, P.",Macroeconomic Asset Pricing,2000-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-662-04238-0_28,,17,"http://link.springer.com/content/pdf/10.1007/978-3-662-04238-0_28.pdf
http://dx.doi.org/10.1007/978-3-662-04238-0_28"
"Shanken, J.",Intertemporal asset pricing,1990-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/0304-4076(90)90095-b,,18,"https://api.elsevier.com/content/article/PII:030440769090095B?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:030440769090095B?httpAccept=text/plain
http://dx.doi.org/10.1016/0304-4076(90)90095-b"
"Kolari, J.,Liu, W.,Huang, J.",Synopsis of Asset Pricing and the ZCAPM,2021-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-030-65197-8_10,,19,"https://link.springer.com/content/pdf/10.1007/978-3-030-65197-8_10
http://dx.doi.org/10.1007/978-3-030-65197-8_10"
"Anthonisz, S.",Asset pricing with partial-moments,2012-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/j.jbankfin.2012.03.017,,20,"https://api.elsevier.com/content/article/PII:S0378426612000799?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:S0378426612000799?httpAccept=text/plain
http://dx.doi.org/10.1016/j.jbankfin.2012.03.017"
,Fast-and-frugal asset pricing,2020-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/b978-0-12-812495-6.00014-8,,21,"https://api.elsevier.com/content/article/PII:B9780128124956000148?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:B9780128124956000148?httpAccept=text/plain
http://dx.doi.org/10.1016/b978-0-12-812495-6.00014-8"
"MacLean, L.,Ziemba, B.",Primer on Arbitrage and Asset Pricing,2014-01-01 00:00:00,SupportedSources.CROSSREF,10.1002/wilm.10303,,22,"https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Fwilm.10303
http://onlinelibrary.wiley.com/wol1/doi/10.1002/wilm.10303/fullpdf
http://dx.doi.org/10.1002/wilm.10303"
"Dybvig, P.,Ross, S.",Tax Clienteless and Asset Pricing,1986-01-01 00:00:00,SupportedSources.CROSSREF,10.2307/2328508,,23,http://dx.doi.org/10.2307/2328508
,Liquidity and asset pricing,2009-05-14 00:00:00,SupportedSources.CROSSREF,10.1017/cbo9780511818547.009,,24,"https://www.cambridge.org/core/services/aop-cambridge-core/content/view/7CCF7D8C1F3F7A9897EE60C78897CC71
http://dx.doi.org/10.1017/cbo9780511818547.009"
,Asset Pricing,2017-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-319-17885-1_100077,,25,"http://link.springer.com/content/pdf/10.1007/978-3-319-17885-1_100077
http://dx.doi.org/10.1007/978-3-319-17885-1_100077"
,Households and Asset Pricing,2009-11-12 00:00:00,SupportedSources.CROSSREF,10.1017/cbo9780511757785.005,,26,"https://www.cambridge.org/core/services/aop-cambridge-core/content/view/CC7CCB49EADBC2423CA9BDFD29976A99
http://dx.doi.org/10.1017/cbo9780511757785.005"
"Pham, H.,Touzi, N.",The fundamental theorem of asset pricing with cone constraints,1999-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/s0304-4068(97)00059-1,,27,"https://api.elsevier.com/content/article/PII:S0304406897000591?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:S0304406897000591?httpAccept=text/plain
http://dx.doi.org/10.1016/s0304-4068(97)00059-1"
"Arouri, M.,Jawadi, F.,Nguyen, D.",Asset Pricing Models,2009-11-03 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-7908-2389-9_3,,28,"http://link.springer.com/content/pdf/10.1007/978-3-7908-2389-9_3.pdf
http://dx.doi.org/10.1007/978-3-7908-2389-9_3"
,Single-step asset pricing models,2012-02-23 00:00:00,SupportedSources.CROSSREF,10.1017/cbo9781139051583.003,,29,"https://www.cambridge.org/core/services/aop-cambridge-core/content/view/317AB8C32FC2799DDE42292079CA99ED
http://dx.doi.org/10.1017/cbo9781139051583.003"
"Lommers, K.",Asset Pricing Models for NFTs,2022-01-01 00:00:00,SupportedSources.CROSSREF,10.2139/ssrn.4248399,,30,http://dx.doi.org/10.2139/ssrn.4248399
"Carmichael, B.,Coën, A.",Asset pricing models with errors-in-variables,2008-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/j.jempfin.2008.01.002,,31,"https://api.elsevier.com/content/article/PII:S0927539808000042?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:S0927539808000042?httpAccept=text/plain
http://dx.doi.org/10.1016/j.jempfin.2008.01.002"
"Bengt, H.,Jean, T.",A Liquidity Asset Pricing Model (LAPM),2011-01-07 00:00:00,SupportedSources.CROSSREF,10.7551/mitpress/9780262015783.003.0005,,32,http://dx.doi.org/10.7551/mitpress/9780262015783.003.0005
"Glabadanidis, P.",Asset Pricing Models,2014-01-01 00:00:00,SupportedSources.CROSSREF,10.1057/9781137372871_1,,33,"http://link.springer.com/content/pdf/10.1057/9781137372871_1
http://dx.doi.org/10.1057/9781137372871_1"
,Asset pricing models,2008-03-31 00:00:00,SupportedSources.CROSSREF,10.4324/9780203932025.ch4,,34,"http://www.crcnetbase.com/doi/pdf/10.4324/9780203932025.ch4
http://dx.doi.org/10.4324/9780203932025.ch4"
"McLean, R.",LAPM: A Liquidity-Based Asset Pricing Model,2002-01-01 00:00:00,SupportedSources.CROSSREF,10.2469/dig.v32.n2.1078,,35,http://dx.doi.org/10.2469/dig.v32.n2.1078
"Nyberg, P.",Asset Pricing Models,2010-01-01 00:00:00,SupportedSources.CROSSREF,10.4135/9781412979290.n20,,36,http://dx.doi.org/10.4135/9781412979290.n20
,Asset Pricing Models,2012-03-12 00:00:00,SupportedSources.CROSSREF,10.1002/9781118467336.ch6,,37,"https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781118467336.ch6
https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781118467336.ch6
http://dx.doi.org/10.1002/9781118467336.ch6"
"Ferson, W.",Asset pricing models,None,SupportedSources.CROSSREF,10.1007/0-387-26336-5_2234,,38,http://dx.doi.org/10.1007/0-387-26336-5_2234
,Asset Pricing Models,2004-06-25 00:00:00,SupportedSources.CROSSREF,10.1002/9781118673546.ch8,,39,"https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781118673546.ch8
https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781118673546.ch8
http://dx.doi.org/10.1002/9781118673546.ch8"
"Luo, D.",Two essays on asset pricing,None,SupportedSources.CROSSREF,10.5353/th_b4819935,,40,http://dx.doi.org/10.5353/th_b4819935
,Asset Pricing Theory,2010-09-07 00:00:00,SupportedSources.CROSSREF,10.1002/9781118267790.ch17,,41,"https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781118267790.ch17
https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781118267790.ch17
http://dx.doi.org/10.1002/9781118267790.ch17"
"Gupta, A.,Zeng, W.,Wu, Y.",Asset Pricing Theory,2010-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-0-8176-4987-6_10,,42,"http://link.springer.com/content/pdf/10.1007/978-0-8176-4987-6_10.pdf
http://dx.doi.org/10.1007/978-0-8176-4987-6_10"
"Zeng, Q.",Asset Pricing Theory,2011-08-19 00:00:00,SupportedSources.CROSSREF,10.1111/j.1475-4932.2011.00756.x,,43,"https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1475-4932.2011.00756.x
http://onlinelibrary.wiley.com/wol1/doi/10.1111/j.1475-4932.2011.00756.x/fullpdf
http://dx.doi.org/10.1111/j.1475-4932.2011.00756.x"
"Wipplinger, E.",C. Skiadas: Asset Pricing Theory,2009-07-17 00:00:00,SupportedSources.CROSSREF,10.1007/s11408-009-0110-5,,44,"http://link.springer.com/content/pdf/10.1007/s11408-009-0110-5.pdf
http://link.springer.com/article/10.1007/s11408-009-0110-5/fulltext.html
http://link.springer.com/content/pdf/10.1007/s11408-009-0110-5
http://link.springer.com/content/pdf/10.1007/s11408-009-0110-5.pdf
http://dx.doi.org/10.1007/s11408-009-0110-5"
"Drobetz, W.",Theory of asset pricing,2000-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-663-08529-4_2,,45,"http://link.springer.com/content/pdf/10.1007/978-3-663-08529-4_2
http://dx.doi.org/10.1007/978-3-663-08529-4_2"
"Nishimura, K.,Ozaki, H.",Dynamic Asset Pricing,2017-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-4-431-55903-0_8,,46,"http://link.springer.com/content/pdf/10.1007/978-4-431-55903-0_8
http://dx.doi.org/10.1007/978-4-431-55903-0_8"
"GUILLOTIN-PLANTARD, N.,SCHOTT, R.","ASSET PRICING IN DYNAMIC (B, S)-MARKETS",2006-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/b978-044452735-6/50048-8,,47,"https://api.elsevier.com/content/article/PII:B9780444527356500488?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:B9780444527356500488?httpAccept=text/plain
http://dx.doi.org/10.1016/b978-044452735-6/50048-8"
"Tusset, G.",Asset Pricing Dynamics,2018-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-319-95612-1_6,,48,"http://link.springer.com/content/pdf/10.1007/978-3-319-95612-1_6
http://dx.doi.org/10.1007/978-3-319-95612-1_6"
"Brody, D.",Information and asset pricing,2010-01-01 00:00:00,SupportedSources.CROSSREF,10.1142/9789814313179_0049,,49,http://dx.doi.org/10.1142/9789814313179_0049
Harold L. Cole,Asset Pricing I: Risk-Neutral Pricing,2019-07-25 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.1093/OSO/9780190941697.003.0003,"This chapter develop the an asset pricing methodology, presents the standard risk-neutral asset pricing model, and uses it to price a wide of assets.",50,https://www.semanticscholar.org/paper/3433a7d39b59bbc2eb8de214794138f0eb823e99
"Djordjevic, M.",Consumption-based macroeconomic models of asset pricing theory,2016-01-01 00:00:00,SupportedSources.CROSSREF,10.2298/eka1611007d,,51,http://dx.doi.org/10.2298/eka1611007d
"Wang, Z.",Three Essays on Asset Pricing,None,SupportedSources.CROSSREF,10.25148/etd.fi09080603,,52,http://dx.doi.org/10.25148/etd.fi09080603
"Castagnoli, E.,Li Calzi, M.",Linear Gears for Asset Pricing,1993-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-642-95900-4_4,,53,"http://link.springer.com/content/pdf/10.1007/978-3-642-95900-4_4
http://dx.doi.org/10.1007/978-3-642-95900-4_4"
"Kolari, J.,Liu, W.,Huang, J.",Asset Pricing Evolution,2021-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-030-65197-8_1,,54,"http://link.springer.com/content/pdf/10.1007/978-3-030-65197-8_1
http://dx.doi.org/10.1007/978-3-030-65197-8_1"
,Classical Asset Pricing,2015-09-25 00:00:00,SupportedSources.CROSSREF,10.1002/9781119202172.ch5,,55,"http://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2F9781119202172.ch5
http://onlinelibrary.wiley.com/wol1/doi/10.1002/9781119202172.ch5/fullpdf
http://dx.doi.org/10.1002/9781119202172.ch5"
"Dothan, U.,Williams, J.",A general asset pricing model,1979-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/0165-1765(79)90231-3,,56,"https://api.elsevier.com/content/article/PII:0165176579902313?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:0165176579902313?httpAccept=text/plain
http://dx.doi.org/10.1016/0165-1765(79)90231-3"
"Lewellen, J.,Nagel, S.,Shanken, J.",A skeptical appraisal of asset pricing tests☆,2010-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/j.jfineco.2009.09.001,,57,"https://api.elsevier.com/content/article/PII:S0304405X09001950?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:S0304405X09001950?httpAccept=text/plain
http://dx.doi.org/10.1016/j.jfineco.2009.09.001"
"Balduzzi, P.,Yao, T.",Does Heterogenity Matter for Asset Pricing?,2001-01-01 00:00:00,SupportedSources.CROSSREF,10.2139/ssrn.272228,,58,http://dx.doi.org/10.2139/ssrn.272228
