authors,title,pub_date,source,doi,abstract,rank,url
"Koch-Medina, P.,Munari, C.",Fundamental Theorem of Asset Pricing,2020-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-030-39724-1_7,,0,"http://link.springer.com/content/pdf/10.1007/978-3-030-39724-1_7
http://dx.doi.org/10.1007/978-3-030-39724-1_7"
Walter Schachermayer,The Fundamental Theorem of Asset Pricing,2013-06-11 00:00:00,SupportedSources.INTERNET_ARCHIVE,10.1142/9789814417358_0002,The subsequent theorem is one of the pillars supporting the modern theory of Mathematical Finance. Fundamental Theorem of Asset Pricing:,1,https://web.archive.org/web/20110401114420/http://www.mat.univie.ac.at/~schachermayer/pubs/preprnts/prpr0141a.pdf
"Johnson, T.",The Fundamental Theorem of Asset Pricing,2017-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-319-61039-9_11,,2,"http://link.springer.com/content/pdf/10.1007/978-3-319-61039-9_11
http://dx.doi.org/10.1007/978-3-319-61039-9_11"
"Elliott, R.,Kopp, P.",The Fundamental Theorem of Asset Pricing,1999-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-1-4757-7146-6_3,,3,"http://link.springer.com/content/pdf/10.1007/978-1-4757-7146-6_3
http://dx.doi.org/10.1007/978-1-4757-7146-6_3"
"Dybvig, H.,Ross, S.",The Fundamental Theorems of Asset Pricing,2003-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-0348-8041-1_11,,4,"http://link.springer.com/content/pdf/10.1007/978-3-0348-8041-1_11
http://dx.doi.org/10.1007/978-3-0348-8041-1_11"
"Delbaen, F.,Schachermayer, W.",A General Version of the Fundamental Theorem of Asset Pricing (1994),None,SupportedSources.CROSSREF,10.1007/978-3-540-31299-4_9,,5,"http://link.springer.com/content/pdf/10.1007/978-3-540-31299-4_9.pdf
http://dx.doi.org/10.1007/978-3-540-31299-4_9"
"Coenraad C. A. Labuschagnea,Theresa M. Offwooda",Fundamental Theorems of Asset Pricing,None,SupportedSources.SEMANTIC_SCHOLAR,10.1142/9789811209574_0003,"Mathematics of Finance, which in general involves finding appropriate pricing models for all types of financial instruments, has its foundations in two theorems, called the fundamental theorems of asset pricing. The first fundamental theorem of asset pricing relates the concept of No Arbitrage to the existence of a risk-neutral pricing measure and the second links market completeness with the uniquness of a pricing measure. This paper gives a brief overview of both fundamental theorems of asset pricing.",6,https://www.semanticscholar.org/paper/7186ff39a754b21b18b6f1ef69f9f2d93d54095c
"Guofu Zhou,F. Fabozzi",General Principles of Asset Pricing,2012-12-15 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.1002/9781118182635.EFM0006,"Asset pricing is mainly about transforming asset payoffs into prices. The most important principles of valuation are no-arbitrage, law of one price, and linear positive state pricing. These principles imply asset prices are linearly related to their discounted payoffs in which the stochastic discount factor is a function of investors’ risk tolerance and economy-wide risks. The arbitrage pricing theory, the capital asset pricing model, and the consumption asset pricing model, among others, are special cases of the discount factor models. 
 
 
Keywords: 
 
capital asset pricing model; 
arbitrage pricing theory; 
general principles of asset pricing; 
redundant asset; 
redundant security; 
primitive securities; 
complete; 
complete market; 
rank; 
Market Completeness Proposition:; 
law of one price; 
Linear Pricing Rule:; 
state price; 
Arrow-Debreu price; 
state price vector; 
Existence of State Price Condition:; 
Uniqueness of State Price Proposition:; 
arbitrage opportunities; 
Fundamental Theorem of Asset Pricing; 
risk-neutral probabilities; 
risk-neutral probability measure; 
consumption-based asset pricing model; 
conditional form of the discount factor model; 
unconditional form of the discount factor model; 
beta pricing model; 
Hansen-Jagannathan bound",7,https://www.semanticscholar.org/paper/4716c0247f92c881dd33de212414fa9282aeb311
"Drobetz, W.",Theory of asset pricing,2000-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-663-08529-4_2,,8,"http://link.springer.com/content/pdf/10.1007/978-3-663-08529-4_2
http://dx.doi.org/10.1007/978-3-663-08529-4_2"
Keith A. Lewis,A Simple Proof of the Fundamental Theorem of Asset Pricing,2019-12-02 21:51:02+00:00,SupportedSources.ARXIV,,"A simple statement and accessible proof of a version of the Fundamental
Theorem of Asset Pricing in discrete time is provided. Careful distinction is
made between prices and cash flows in order to provide uniform treatment of all
instruments. There is no need for a ``real-world'' measure in order to specify
a model for derivative securities, one simply specifies an arbitrage free
model, tunes it to market data, and gets down to the business of pricing,
hedging, and managing the risk of derivative securities.",9,"http://arxiv.org/pdf/1912.01091v1
http://arxiv.org/abs/1912.01091v1
http://arxiv.org/pdf/1912.01091v1"
"Andrei Lebedev,Petr Zabreiko",Fundamental theorem of asset pricing: a strengthened version and $p$-summable markets,2014-12-22 17:08:41+00:00,SupportedSources.ARXIV,,"In the article a strenthened version of the 'Fundamental Theorem of asset
Pricing' for one-period market model is proven. The principal role in this
result play total and nonanihilating cones.",10,"http://arxiv.org/pdf/1412.7058v1
http://arxiv.org/abs/1412.7058v1
http://arxiv.org/pdf/1412.7058v1"
"A. Lebedev,G. S. Romashchenko,P. P. Zabreiko",Fundamental theorem of asset pricing: a strengthened version and а martingale measures search area,2022-05-05 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.29235/1561-8323-2022-66-2-135-140,In the article a strengthened version of the ’Fundamental Theorem of Asset Pricing’ for a one-period market model is proven. The principal role in this result is played by total and nonanihilating cones.,11,"https://www.semanticscholar.org/paper/0a8b63a0e6d4cb0be19afe549e5b7100aadb9f11
https://doklady.belnauka.by/jour/article/download/1047/1058"
