authors,title,pub_date,source,doi,abstract,rank,url
B. Stemper,Rough volatility models,None,SupportedSources.SEMANTIC_SCHOLAR,10.14279/DEPOSITONCE-8422,,0,https://www.semanticscholar.org/paper/e93f0dae9a502077bc359e9408fe418eb1172b3d
Xiaoyan Zhang,Rough Volatility Modelling,None,SupportedSources.SEMANTIC_SCHOLAR,,,1,https://www.semanticscholar.org/paper/eb86e79a913c424e185f2c7548b46036814482bc
A. Jacquier,Pricing and Hedging in rough volatility models,None,SupportedSources.SEMANTIC_SCHOLAR,10.14288/1.0377057,,2,https://www.semanticscholar.org/paper/ea5b0272cb6b81916e22e8bbe0138d08f56e439b
"Walcott, R.",Creating an Implied Volatility Surface with Rough Volatility Models,2022-01-01 00:00:00,SupportedSources.CROSSREF,10.2139/ssrn.4289148,,3,http://dx.doi.org/10.2139/ssrn.4289148
"Parent, L.",The Rough Path-Dependent Volatility Model,2022-01-01 00:00:00,SupportedSources.CROSSREF,10.2139/ssrn.4270481,,4,http://dx.doi.org/10.2139/ssrn.4270481
R. Aïd,NWO / STAR / PWN 18 th Winter School on Mathematical Finance Special topics : Rough volatility Long term investments January,None,SupportedSources.SEMANTIC_SCHOLAR,,"Minicourse on Rough volatility Jim Gatheral (The City University of New York) Rough volatility The scaling properties of historical volatility time series, which now appear to be universal, together with the scaling properties of implied volatility smiles, motivate a new class of stochastic volatility models where paths of volatility are rougher than those of Brownian motion. Rough volatility connects the microstructure of financial markets with the large-scale behavior of volatility as encoded in the implied volatility surface. Rough volatility models are typically very parsimonious yet are in remarkable agreement with both econometric data and option prices. Practical applications include efficient forecasting of future integrated variance and option pricing. This mini-course will include the following topics: • Scaling properties of the time series of historical volatility • Estimation of H • Volatility forecasting • The volatility surface: Stylized facts • The rough Bergomi model • Relating historical and implied model parameters • The rough Heston model • The hybrid BSS scheme • Diamonds and the Exponentiation Theorem • Calibration of model parameters References: 1. Elisa Alòs, Jim Gatheral, and Radoš Radoičić, Exponentiation of conditional expectations under stochastic volatility, https://papers.ssrn.com/sol3/papers.cfm?abstract_id= 2983180, (2017). 2. Christian Bayer, Peter Friz and Jim Gatheral, Pricing under rough volatility, Quantitative Finance 16(6), 887-904, (2016). 3. Mikkel Bennedsen, Asger Lunde, and Mikko S. Pakkanen, Hybrid scheme for Brownian semistationary processes, Finance and Stochastics 21(4), 931-965, (2017). 4. Mikkel Bennedsen, Asger Lunde, and Mikko S. Pakkanen, Decoupling the short-and longterm behavior of stochastic volatility, https://arxiv.org/abs/1610.00332, (2016). 5. Omar El Euch and Mathieu Rosenbaum, The characteristic function of rough Heston models, Mathematical Finance, https://onlinelibrary.wiley.com/doi/10.1111/ mafi.12173, (2018).",5,https://www.semanticscholar.org/paper/fe8ffbbc4ba04d56ea56d060df76c126da9f4617
,NWO / STAR / PWN Winter School on Mathematical Finance,None,SupportedSources.SEMANTIC_SCHOLAR,,"Minicourse on Rough volatility Jim Gatheral (The City University of New York) Rough volatility The scaling properties of historical volatility time series, which now appear to be universal, together with the scaling properties of implied volatility smiles, motivate a new class of stochastic volatility models where paths of volatility are rougher than those of Brownian motion. Rough volatility connects the microstructure of financial markets with the large-scale behavior of volatility as encoded in the implied volatility surface. Rough volatility models are typically very parsimonious yet are in remarkable agreement with both econometric data and option prices. Practical applications include efficient forecasting of future integrated variance and option pricing. This mini-course will include the following topics: • Scaling properties of the time series of historical volatility • Estimation of H • Volatility forecasting • The volatility surface: Stylized facts • The rough Bergomi model • Relating historical and implied model parameters • The rough Heston model • The hybrid BSS scheme • Diamonds and the Exponentiation Theorem • Calibration of model parameters References: 1. Elisa Alòs, Jim Gatheral, and Radoš Radoičić, Exponentiation of conditional expectations under stochastic volatility, https://papers.ssrn.com/sol3/papers.cfm?abstract_id= 2983180, (2017). 2. Christian Bayer, Peter Friz and Jim Gatheral, Pricing under rough volatility, Quantitative Finance 16(6), 887-904, (2016). 3. Mikkel Bennedsen, Asger Lunde, and Mikko S. Pakkanen, Hybrid scheme for Brownian semistationary processes, Finance and Stochastics 21(4), 931-965, (2017). 4. Mikkel Bennedsen, Asger Lunde, and Mikko S. Pakkanen, Decoupling the short-and longterm behavior of stochastic volatility, https://arxiv.org/abs/1610.00332, (2016). 5. Omar El Euch and Mathieu Rosenbaum, The characteristic function of rough Heston models, Mathematical Finance, https://onlinelibrary.wiley.com/doi/10.1111/ mafi.12173, (2018).",6,https://www.semanticscholar.org/paper/09e774b5f4a2b07eb02febdd720547e31d69dabc
"Jun YU,,LIU, Xiaobin,SHI, Shuping",Persistent and rough volatility,2020-11-01 00:00:00,SupportedSources.CORE,,,7,https://core.ac.uk/download/359403242.pdf
"Omar El Euch,Jim Gatheral,M. Rosenbaum",Roughening Heston,2019-03-25 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.2139/ssrn.3116887,"Rough volatility models are known to fit the volatility surface remarkably well with very few parameters. On the other hand, the classical Heston model is highly tractable allowing for fast calibration. We present here the rough Heston model which offers the best of both worlds. Even better, we find that we can accurately approximate rough Heston model values by scaling the volatility of volatility parameter of the classical Heston model.",8,https://www.semanticscholar.org/paper/9964b8ab911eb4147d1d6100e0e2504059d8c555
"M. Keller-Ressel,Martin Larsson,Sergio Pulido",M F ] 2 0 D ec 2 01 8 Affine Rough Models ∗,None,SupportedSources.SEMANTIC_SCHOLAR,,"The goal of this survey article is to explain and elucidate the affine structure of recent models appearing in the rough volatility literature, and show how it leads to exponential-affine transform formulas.",9,https://www.semanticscholar.org/paper/6a3f4334883c2a7dede2dab765b2d769939dda38
