authors,title,pub_date,source,doi,abstract,rank,url
"Parent, L.",The Rough Path-Dependent Volatility Model,2022-01-01 00:00:00,SupportedSources.CROSSREF,10.2139/ssrn.4270481,,0,http://dx.doi.org/10.2139/ssrn.4270481
B. Stemper,Rough volatility models,None,SupportedSources.SEMANTIC_SCHOLAR,10.14279/DEPOSITONCE-8422,,1,https://www.semanticscholar.org/paper/e93f0dae9a502077bc359e9408fe418eb1172b3d
"A. Dandapani,Paul Jusselin,M. Rosenbaum",From quadratic Hawkes processes to super-Heston rough volatility models with Zumbach effect,2019-07-14 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.1080/14697688.2020.1841906,Building log-normal-like rough volatility models with proper Zumbach effect using a microstructural approach,2,"https://www.semanticscholar.org/paper/e06b3a29ef1c29bc82f61137b721b93eb3c02d5a
http://arxiv.org/pdf/1907.06151"
Xiaoyan Zhang,Rough Volatility Modelling,None,SupportedSources.SEMANTIC_SCHOLAR,,,3,https://www.semanticscholar.org/paper/eb86e79a913c424e185f2c7548b46036814482bc
"Parent, L.",The Rough Path-Dependent Volatility Model (Presentation Slides),2023-01-01 00:00:00,SupportedSources.CROSSREF,10.2139/ssrn.4396307,,4,http://dx.doi.org/10.2139/ssrn.4396307
"Omar El Euch,Jim Gatheral,M. Rosenbaum",Roughening Heston,2019-03-25 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.2139/ssrn.3116887,"Rough volatility models are known to fit the volatility surface remarkably well with very few parameters. On the other hand, the classical Heston model is highly tractable allowing for fast calibration. We present here the rough Heston model which offers the best of both worlds. Even better, we find that we can accurately approximate rough Heston model values by scaling the volatility of volatility parameter of the classical Heston model.",5,https://www.semanticscholar.org/paper/9964b8ab911eb4147d1d6100e0e2504059d8c555
R. Aïd,NWO / STAR / PWN 18 th Winter School on Mathematical Finance Special topics : Rough volatility Long term investments January,None,SupportedSources.SEMANTIC_SCHOLAR,,"Minicourse on Rough volatility Jim Gatheral (The City University of New York) Rough volatility The scaling properties of historical volatility time series, which now appear to be universal, together with the scaling properties of implied volatility smiles, motivate a new class of stochastic volatility models where paths of volatility are rougher than those of Brownian motion. Rough volatility connects the microstructure of financial markets with the large-scale behavior of volatility as encoded in the implied volatility surface. Rough volatility models are typically very parsimonious yet are in remarkable agreement with both econometric data and option prices. Practical applications include efficient forecasting of future integrated variance and option pricing. This mini-course will include the following topics: • Scaling properties of the time series of historical volatility • Estimation of H • Volatility forecasting • The volatility surface: Stylized facts • The rough Bergomi model • Relating historical and implied model parameters • The rough Heston model • The hybrid BSS scheme • Diamonds and the Exponentiation Theorem • Calibration of model parameters References: 1. Elisa Alòs, Jim Gatheral, and Radoš Radoičić, Exponentiation of conditional expectations under stochastic volatility, https://papers.ssrn.com/sol3/papers.cfm?abstract_id= 2983180, (2017). 2. Christian Bayer, Peter Friz and Jim Gatheral, Pricing under rough volatility, Quantitative Finance 16(6), 887-904, (2016). 3. Mikkel Bennedsen, Asger Lunde, and Mikko S. Pakkanen, Hybrid scheme for Brownian semistationary processes, Finance and Stochastics 21(4), 931-965, (2017). 4. Mikkel Bennedsen, Asger Lunde, and Mikko S. Pakkanen, Decoupling the short-and longterm behavior of stochastic volatility, https://arxiv.org/abs/1610.00332, (2016). 5. Omar El Euch and Mathieu Rosenbaum, The characteristic function of rough Heston models, Mathematical Finance, https://onlinelibrary.wiley.com/doi/10.1111/ mafi.12173, (2018).",6,https://www.semanticscholar.org/paper/fe8ffbbc4ba04d56ea56d060df76c126da9f4617
A. Jacquier,Pricing and Hedging in rough volatility models,None,SupportedSources.SEMANTIC_SCHOLAR,10.14288/1.0377057,,7,https://www.semanticscholar.org/paper/ea5b0272cb6b81916e22e8bbe0138d08f56e439b
"Eduardo Abi Jaber,Omar El Euch",Multifactor Approximation of Rough Volatility Models,2019-01-01 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.1137/18m1170236,"Rough volatility models are very appealing because of their remarkable fit of both historical and implied volatilities. However, due to the non-Markovian and non-semimartingale nature of the volatility process, there is no simple way to simulate efficiently such models, which makes risk management of derivatives an intricate task. In this paper, we design tractable multi-factor stochastic volatility models approximating rough volatility models and enjoying a Markovian structure. Furthermore, we apply our procedure to the specific case of the rough Heston model. This in turn enables us to derive a numerical method for solving fractional Riccati equations appearing in the characteristic function of the log-price in this setting.",8,"https://www.semanticscholar.org/paper/bee484a04aa183053810d0def77dc689d345c9b1
https://basepub.dauphine.psl.eu/bitstream/123456789/17921/2/AJEE_20180407_Final.pdf"
,NWO / STAR / PWN Winter School on Mathematical Finance,None,SupportedSources.SEMANTIC_SCHOLAR,,"Minicourse on Rough volatility Jim Gatheral (The City University of New York) Rough volatility The scaling properties of historical volatility time series, which now appear to be universal, together with the scaling properties of implied volatility smiles, motivate a new class of stochastic volatility models where paths of volatility are rougher than those of Brownian motion. Rough volatility connects the microstructure of financial markets with the large-scale behavior of volatility as encoded in the implied volatility surface. Rough volatility models are typically very parsimonious yet are in remarkable agreement with both econometric data and option prices. Practical applications include efficient forecasting of future integrated variance and option pricing. This mini-course will include the following topics: • Scaling properties of the time series of historical volatility • Estimation of H • Volatility forecasting • The volatility surface: Stylized facts • The rough Bergomi model • Relating historical and implied model parameters • The rough Heston model • The hybrid BSS scheme • Diamonds and the Exponentiation Theorem • Calibration of model parameters References: 1. Elisa Alòs, Jim Gatheral, and Radoš Radoičić, Exponentiation of conditional expectations under stochastic volatility, https://papers.ssrn.com/sol3/papers.cfm?abstract_id= 2983180, (2017). 2. Christian Bayer, Peter Friz and Jim Gatheral, Pricing under rough volatility, Quantitative Finance 16(6), 887-904, (2016). 3. Mikkel Bennedsen, Asger Lunde, and Mikko S. Pakkanen, Hybrid scheme for Brownian semistationary processes, Finance and Stochastics 21(4), 931-965, (2017). 4. Mikkel Bennedsen, Asger Lunde, and Mikko S. Pakkanen, Decoupling the short-and longterm behavior of stochastic volatility, https://arxiv.org/abs/1610.00332, (2016). 5. Omar El Euch and Mathieu Rosenbaum, The characteristic function of rough Heston models, Mathematical Finance, https://onlinelibrary.wiley.com/doi/10.1111/ mafi.12173, (2018).",9,https://www.semanticscholar.org/paper/09e774b5f4a2b07eb02febdd720547e31d69dabc
