authors,title,pub_date,source,doi,abstract,rank,url
"Hansjoerg Albrecher,Dina Finger,Pierre-Olivier Goffard",Blockchain mining in pools: Analyzing the trade-off between profitability and ruin,2021-09-07 13:42:04+00:00,SupportedSources.ARXIV,,"The resource-consuming mining of blocks on a blockchain equipped with a proof
of work consensus protocol bears the risk of ruin, namely when the operational
costs for the mining exceed the received rewards. In this paper we investigate
to what extent it is of interest to join a mining pool that reduces the
variance of the return of a miner for a specified cost for participation. Using
methodology from ruin theory and risk sharing in insurance, we quantitatively
study the effects of pooling in this context and derive several explicit
formulas for quantities of interest. The results are illustrated in numerical
examples for parameters of practical relevance.",0,"http://arxiv.org/pdf/2109.03085v1
http://arxiv.org/abs/2109.03085v1
http://arxiv.org/pdf/2109.03085v1"
"Matthias Lohr,Kenneth Skiba,Marco Konersmann,Jan Jürjens,Steffen Staab",Formalizing Cost Fairness for Two-Party Exchange Protocols using Game Theory and Applications to Blockchain (Extended Version),2022-03-11 13:51:01+00:00,SupportedSources.ARXIV,,"Existing fair exchange protocols usually neglect consideration of cost when
assessing their fairness. However, in an environment with non-negligible
transaction cost, e.g., public blockchains, high or unexpected transaction cost
might be an obstacle for wide-spread adoption of fair exchange protocols in
business applications. For example, as of 2021-12-17, the initialization of the
FairSwap protocol on the Ethereum blockchain requires the selling party to pay
a fee of approx. 349.20 USD per exchange. We address this issue by defining
cost fairness, which can be used to assess two-party exchange protocols
including implied transaction cost. We show that in an environment with
non-negligible transaction cost where one party has to initialize the exchange
protocol and the other party can leave the exchange at any time cost fairness
cannot be achieved.",1,"http://arxiv.org/pdf/2203.05925v2
http://arxiv.org/abs/2203.05925v2
http://arxiv.org/pdf/2203.05925v2"
"Shihab Shahriar Hazari,Q. Mahmoud",Improving Transaction Speed and Scalability of Blockchain Systems via Parallel Proof of Work,2020-07-27 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.3390/fi12080125,"A blockchain is a distributed ledger forming a distributed consensus on a history of transactions, and is the underlying technology for the Bitcoin cryptocurrency. Its applications are far beyond the financial sector. The transaction verification process for cryptocurrencies is much slower than traditional digital transaction systems. One approach to scalability or the speed at which transactions are processed is to design a solution that offers faster Proof of Work. In this paper, we propose a method for accelerating the process of Proof of Work based on parallel mining rather than solo mining. The goal is to ensure that no more than two or more miners put the same effort into solving a specific block. The proposed method includes a process for selection of a manager, distribution of work and a reward system. This method has been implemented in a test environment that contains all the characteristics needed to perform Proof of Work for Bitcoin and has been tested, using a variety of case scenarios, by varying the difficulty level and number of validators. Experimental evaluations were performed locally and in a cloud environment, and experimental results demonstrate the feasibility the proposed method.",2,"https://www.semanticscholar.org/paper/1af2ce2c74f80545cc908772ea520a52a3af0a81
https://www.mdpi.com/1999-5903/12/8/125/pdf?version=1596687526"
"Pithadia, Hirsh Jaykrishnan",Algorithmic Regulation using AI and Blockchain Technology,2021-11-28 00:00:00,SupportedSources.CORE,,"This thesis investigates the application of AI and blockchain technology to the domain of Algorithmic Regulation. Algorithmic Regulation refers to the use of intelligent systems for the enabling and enforcement of regulation (often referred to as RegTech in financial services). The research work focuses on three problems: a) Machine interpretability of regulation; b) Regulatory reporting of data; and c) Federated analytics with data compliance. Uniquely, this research was designed, implemented, tested and deployed in collaboration with the Financial Conduct Authority (FCA), Santander, RegulAItion and part funded by the InnovateUK RegNet project. I am a co-founder of RegulAItion. 

/ Using AI to Automate the Regulatory Handbook: In this investigation we propose the use of reasoning systems for encoding financial regulation as machine readable and executable rules. We argue that our rules-based “white-box” approach is needed, as opposed to a “black-box” machine learning approach, as regulators need explainability and outline the theoretical foundation needed to encode regulation from the FCA Handbook into machine readable semantics. We then present the design and implementation of a production-grade regulatory reasoning system built on top of the Java Expert System Shell (JESS) and use it to encode a subset of regulation (consumer credit regulation) from the FCA Handbook. We then perform an empirical evaluation, with the regulator, of the system based on its performance and accuracy in handling 600 “real- world” queries and compare it with its human equivalent. The findings suggest that the proposed approach of using reasoning systems not only provides quicker responses, but also more accurate results to answers from queries that are explainable. 

/ SmartReg: Using Blockchain for Regulatory Reporting: In this investigation we explore the use of distributed ledgers for real-time reporting of data for compliance between firms and regulators. Regulators and firms recognise the growing burden and complexity of regulatory reporting resulting from the lack of data standardisation, increasing complexity of regulation and the lack of machine executable rules. The investigation presents a) the design and implementation of a permissioned Quorum-Ethereum based regulatory reporting network that makes use of an off-chain reporting service to execute machine readable rules on banks’ data through smart contracts b) a means for cross border regulators to share reporting data with each other that can be used to given them a true global view of systemic risk c) a means to carry out regulatory reporting using a novel pull-based approach where the regulator is able to directly “pull” relevant data out of the banks’ environments in an ad-hoc basis- enabling regulators to become more active when addressing risk. We validate the approach and implementation of our system through a pilot use case with a bank and regulator. The outputs of this investigation have informed the Digital Regulatory Reporting initiative- an FCA and UK Government led project to improve regulatory reporting in the financial services. 



/ RegNet: Using Federated Learning and Blockchain for Privacy Preserving Data Access In this investigation we explore the use of Federated Machine Learning and Trusted data access for analytics. With the development of stricter Data Regulation (e.g. GDPR) it is increasingly difficult to share data for collective analytics in a compliant manner. We argue that for data compliance, data does not need to be shared but rather, trusted data access is needed. The investigation presents a) the design and implementation of RegNet- an infrastructure for trusted data access in a secure and privacy preserving manner for a singular algorithmic purpose, where the algorithms (such as Federated Learning) are orchestrated to run within the infrastructure of data owners b) A taxonomy for Federated Learning c) The tokenization and orchestration of Federated Learning through smart contracts for auditable governance. We validate our approach and the infrastructure (RegNet) through a real world use case, involving a number of banks, that makes use of Federated Learning with Epsilon-Differential Privacy for improving the performance of an Anti-Money-Laundering classification model",3,https://core.ac.uk/download/483550586.pdf
"Stefan Dziembowski,Grzegorz Fabianski,Sebastian Faust,Siavash Riahi",Lower Bounds for Off-Chain Protocols: Exploring the Limits of Plasma,2020-01-01 00:00:00,SupportedSources.INTERNET_ARCHIVE,,"Blockchain is a disruptive new technology introduced around a decade ago. It can be viewed as a method for recording timestamped transactions in a public database. Most of blockchain protocols do not scale well, i.e., they cannot process quickly large amounts of transactions. A natural idea to deal with this problem is to use the blockchain only as a timestamping service, i.e., to hash several transactions tx 1, . . . , tx m into one short string, and just put this string on the blockchain, while at the same time posting the hashed transactions tx 1, . . . , tx m to some public place on the Internet (""off-chain""). In this way the transactions tx i remain timestamped, but the amount of data put on the blockchain is greatly reduced. This idea was introduced in 2017 under the name Plasma by Poon and Buterin. Shortly after this proposal, several variants of Plasma have been proposed. They are typically built on top of the Ethereum blockchain, as they strongly rely on so-called smart contracts (in order to resolve disputes between the users if some of them start cheating). Plasmas are an example of so-called off-chain protocols. In this work we initiate the study of the inherent limitations of Plasma protocols. More concretely, we show that in every Plasma system the adversary can either (a) force the honest parties to communicate a lot with the blockchain, even though they did not intend to (this is traditionally called mass exit); or (b) an honest party that wants to leave the system needs to quickly communicate large amounts of data to the blockchain. What makes these attacks particularly hard to handle in real life is that these attacks do not have so-called uniquely attributable faults, i.e. the smart contract cannot determine which party is malicious, and hence cannot force it to pay the fees for the blockchain interaction. An important implication of our result is that the benefits of two of the most prominent Plasma types, called Plasma Cash and Fungible Plasma, cannot be achieved simultaneously. Besides of the direct implications on real-life cryptocurrency research, we believe that this work may open up a new line of theoretical research, as, up to our knowledge, this is the first work that provides an impossibility result in the area of off-chain protocols.",4,https://web.archive.org/web/20210219032552/https://eprint.iacr.org/2020/175.pdf
"Gyeong-Jin Ra,Dae-Hee Seo,Zakirul Alam Bhuiyan,Im-Yeong Lee",An Anonymous Protocol for Member Privacy in a Consortium Blockchain,2019-07-14 00:00:00,SupportedSources.OPENALEX,10.1007/978-3-030-24907-6_34,,5,"https://openalex.org/W2960845713
https://doi.org/10.1007/978-3-030-24907-6_34"
"Ammar Rayes, Samer Salam",Internet of Things From Hype to Reality,2020-04-27 00:00:00,SupportedSources.CORE,,"The Internet of Things (IoT) has gained significant mindshare, let alone attention, in academia and the industry especially over the past few years. The reasons behind this interest are the potential capabilities that IoT promises to offer. On the personal level, it paints a picture of a future world where all the things in our ambient environment are connected to the Internet and seamlessly communicate with each other to operate intelligently. The ultimate goal is to enable objects around us to efficiently sense our surroundings, inexpensively communicate, and ultimately create a better environment for us: one where everyday objects act based on what we need and like without explicit instructions",6,https://core.ac.uk/download/326762892.pdf
"Wang, J.,Sun, G.,Gu, Y.,Liu, K.",Distributed Electronic Data Storage and Proof System Based on Blockchain,2020-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-981-15-3278-8_4,,7,"http://link.springer.com/content/pdf/10.1007/978-981-15-3278-8_4
http://dx.doi.org/10.1007/978-981-15-3278-8_4"
"Rehman, Ali Akbar",System for Workflow Design and Execution on Data Shared Between Untrusting Organizations for Analytics,2022-01-01 00:00:00,SupportedSources.CORE,,"Performance of complex analytics \& AI algorithms typically involves large amounts of data. The data may originate from multiple sources and is typically compiled and moved to a central location before it can be consumed by the algorithms, making this approach impractical for untrusting organizations interested to share analytics and results but not risking the exposure of the dataset in its entirety. Current approaches to support such a scenario for data consumption is to move the computation closer to the data instead of the other way around. But that involves writing code for distributed file systems like Hadoop File System (HDFS), which demands professional expertise in writing Map-Reduce jobs and parallel code design patterns. In this thesis, we demonstrate a proof of concept allowing organizations to share their datasets for consumption by inter-organizational workflows without exposing the data itself and avoiding distributed programming expertise. We propose an approach using Hyperledger Fabric for untrusting entities to advertise their datasets for consumption by other organizations without demanding extensive knowledge of writing distributed code, and all this without ever exposing the data itself to the user. Hence the analytics can be run on the data while maintaining ownership. A permissioned blockchain network is established using Hyperledger Fabric and organizations can join the mentioned consortium. A JupyterHub server is hosted on a Kubernetes cluster that services users with a Jupyter instance where users can explore the datasets available through our custom extension, write code and construct workflows running the algorithms on the datasets. The required datasets are consumed as persistent volumes when running the workflow; only exposing the data to the job requiring it. To ensure the privacy of sensitive information committed to the blockchain, organizations encrypt the sensitive information with keys that are internal to the organization",8,https://core.ac.uk/download/542947712.pdf
"Paolo Tasca,Claudio J. Tessone",A Taxonomy of Blockchain Technologies: Principles of Identification and Classification,2019-02-15 00:00:00,SupportedSources.INTERNET_ARCHIVE,10.5195/ledger.2019.140,"A comparative study across the most widely known blockchain technologies is conducted with a bottom-up approach. Blockchains are deconstructed into their building blocks. Each building block is then hierarchically classified into main and subcomponents. Then, varieties of the subcomponents are identified and compared. A taxonomy tree is used to summarise the study and provide a navigation tool across different blockchain architectural configurations.",9,https://web.archive.org/web/20190430210719/http://ledger.pitt.edu/ojs/index.php/ledger/article/download/140/118
