authors,title,pub_date,source,doi,abstract,rank,url
"Huang, K.,Mu, Y.,Rezaeibagha, F.,Zhang, X.",Zero-Knowledge Proof for Blockchain,2021-08-15 00:00:00,SupportedSources.CROSSREF,10.1201/9781003190127-8,,0,http://dx.doi.org/10.1201/9781003190127-8
Antti Tani,Zero-knowledge proofs in blockchain applications,2020-01-01 00:00:00,SupportedSources.OPENALEX,,,1,https://openalex.org/W3138660209
"Collin, S.",Zero knowledge proofs,1988-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/0142-0496(88)90021-5,,2,"https://api.elsevier.com/content/article/PII:0142049688900215?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:0142049688900215?httpAccept=text/plain
https://api.elsevier.com/content/article/PII:0142049688900215?httpAccept=text/plain
http://dx.doi.org/10.1016/0142-0496(88)90021-5"
"Liz George,Jubilant J. Kizhakkethottam",Evolution of Zero-Knowledge Proof (ZKP) and its role in blockchain applications for ensuring data privacy,None,SupportedSources.SEMANTIC_SCHOLAR,,"Last decade has witnessed a flourish in blockchain applications on account of the transparency, immutability and data privacy it offers. It allows users to act anonymously and perform transactions with high-end security. Counter measures to prevent various attacks that compromises the privacy of blockchain applications and improvising existing privacy mechanisms is the main concern in this area. Zero Knowledge proof is a cryptographic technique which has the potential to revolutionize the way data is collected, used and transacted with. It allows the user to hide the information that he possess but still able to prove its validity to others, thereby opens far-reaching prospects in the privacy preservation mechanism of blockchain applications. This paper gives an insight about the various Zero Knowledge Proof protocols like NIZKP, ZKRP, zk-SNARK, Bulletproof etc. that have evolved over time, and its role in privacy management in the era of blockchain. keywords blockchain, zero knowledge proof, privacy, cryptography _____________________________________________________________________________________________________",3,https://www.semanticscholar.org/paper/48b4db447aec8b8821ddbbb09d394bbf32d2e385
,Zero Knowledge Protocols,None,SupportedSources.CROSSREF,10.1007/0-306-47053-5_14,,4,"http://link.springer.com/content/pdf/10.1007/0-306-47053-5_14.pdf
http://dx.doi.org/10.1007/0-306-47053-5_14"
"Midha, M.,Gupta, A.,Mathur, P.",Review on Zero-Knowledge Proof Method,2021-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-981-15-9689-6_33,,5,"http://link.springer.com/content/pdf/10.1007/978-981-15-9689-6_33
http://dx.doi.org/10.1007/978-981-15-9689-6_33"
"Shobha Tyagi,Madhumita Kathuria",Role of Zero-Knowledge Proof in Blockchain Security,2022-05-26 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.1109/com-it-con54601.2022.9850714,"Distributed Ledger Technology is also known as blockchain technology. It brings the characteristics like transparency, decentralization, immutability, and the distributed ledger in one package. The user identity of the public blockchain is anonymous on the network and cannot control the confidentiality and privacy of their data. The Anonymity of a user does not mean privacy. The importance of user and data privacy and confidentiality in blockchain technology is realized and is yet to be addressed by blockchain protocols. Zero-Knowledge-Proof can be the best solution to this problem. It is relatively new and is developing very rapidly. Zero-Knowledge-Proof can provide strong privacy if the security model is well understood and used carefully. Zero-Knowledge-Proof makes sure that no one accesses the secured data except the user. Paper discusses the types and the various applications of the Zero-Knowledge-Proof in the blockchain.",6,https://www.semanticscholar.org/paper/a78b33faa16bb5be0007f474dce03051ce14c3f8
,ZERO-KNOWLEDGE PROOFS IN BLOCKCHAIN,None,SupportedSources.SEMANTIC_SCHOLAR,,"The application of blockchain across the industries is limited to some degree by data privacy concerns. While it eliminates the need for trusted third parties, information shared on the blockchain is exposed to all members within the network. This paper examines how zero-knowledge proofs, an upcoming technique, can address issues around sharing excessive information on blockchain networks. It looks at different techniques of zero-knowledge proofs, describes how information is shielded, and discusses some use cases such as personal data protection.",7,https://www.semanticscholar.org/paper/56279a872831b1ab3dae789bdf69f0b494c0ccca
"Xiaoqiang Sun,F. Yu,Peng Zhang,Zhiwei Sun,Weixin Xie,Xiang Peng",A Survey on Zero-Knowledge Proof in Blockchain,2021-07-01 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.1109/MNET.011.2000473,"Blockchain, which is usually regarded as a public, decentralized and distributed ledger, has attracted significant attention recently. In the environment of blockchain, all historical transaction data are recorded and stored. However, because blockchain is open and transparent, a malicious user may illegally access private transaction data, including transaction amount, account address, and account balance. As a cryptographic technique, zero-knowledge proof (ZKP) can be used to verify whether the prover has enough transaction amount in the environment of blockchain without leaking any private transaction data. This article provides a comprehensive survey on ZKP in the environment of blockchain with the aim of highlighting security problems and challenges. It first discusses the framework, models and applications of ZKP. Next, it provides an introduction of blockchain, and proposes a framework of ZKP in the environment of blockchain. Then, it highlights the current state of ZKP in the environment of blockchain. Finally, it identifies some potential problems and future research directions.",8,https://www.semanticscholar.org/paper/65f1e83a53c5ce9dee04042e0dd4191a451df2b8
,Zero-Knowledge Proof Technology,2020-01-01 00:00:00,SupportedSources.CROSSREF,10.1142/9781786348210_0007,,9,http://dx.doi.org/10.1142/9781786348210_0007
"Eduardo Morais,Tommy Koens,Cees van Wijk,Aleksei Koren",A survey on zero knowledge range proofs and applications,2019-07-31 00:00:00,SupportedSources.INTERNET_ARCHIVE,10.1007/s42452-019-0989-z,"In last years, there has been an increasing effort to leverage distributed ledger technology (DLT), including blockchain. One of the main topics of interest, given its importance, is the research and development of privacy mechanisms, as for example is the case of zero knowledge proofs (ZKP). ZKP is a cryptographic technique that can be used to hide information that is put into the ledger, while still allowing to perform validation of this data. In this work we describe different strategies to construct zero knowledge range proofs (ZKRP), as for example the scheme proposed by Boudot (in: Bart (ed) Advances in cryptology- EUROCRYPT 2000, Springer, Berlin, 2000) in 2001; the one proposed by Camenisch et al.",10,https://web.archive.org/web/20200307074204/https://link.springer.com/content/pdf/10.1007%2Fs42452-019-0989-z.pdf
,Zero-knowledge,None,SupportedSources.CROSSREF,10.1007/springerreference_566,,11,"http://www.springerlink.com/index/pdf/10.1007/SpringerReference_566
http://dx.doi.org/10.1007/springerreference_566"
