authors,title,pub_date,source,doi,abstract,rank,url
"Ke Huang,Yi Mu,Fatemeh Rezaeibagha,Xiaosong Zhang",Zero-Knowledge Proof for Blockchain,2021-08-15 00:00:00,SupportedSources.OPENALEX,10.1201/9781003190127-8,,0,"https://openalex.org/W3203442351
https://doi.org/10.1201/9781003190127-8"
"Miguel D'iaz Montiel,R. Guerraoui,Pierre-Louis Roman",SurferMonkey: A Decentralized Anonymous Blockchain Intercommunication System via Zero Knowledge Proofs,2022-10-24 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.48550/arXiv.2210.13242,1 2,1,https://www.semanticscholar.org/paper/de4166f575497d48b1cec1cf32e9668404978907
Antti Tani,Zero-knowledge proofs in blockchain applications,2020-01-01 00:00:00,SupportedSources.OPENALEX,,,2,https://openalex.org/W3138660209
"Ducrée, J.",Research – A blockchain of knowledge?,2020-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/j.bcra.2020.100005,,3,"https://api.elsevier.com/content/article/PII:S2096720920300051?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:S2096720920300051?httpAccept=text/plain
http://dx.doi.org/10.1016/j.bcra.2020.100005"
"Collin, S.",Zero knowledge proofs,1988-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/0142-0496(88)90021-5,,4,"https://api.elsevier.com/content/article/PII:0142049688900215?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:0142049688900215?httpAccept=text/plain
https://api.elsevier.com/content/article/PII:0142049688900215?httpAccept=text/plain
http://dx.doi.org/10.1016/0142-0496(88)90021-5"
"Xie, X.,Xue, R.,Wang, M.",Zero Knowledge Proofs from Ring-LWE,2013-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-319-02937-5_4,,5,"http://link.springer.com/content/pdf/10.1007/978-3-319-02937-5_4
http://dx.doi.org/10.1007/978-3-319-02937-5_4"
"Raharjo, W.,Sutanti, D.",Implementasi Zero Knowledge Proof Menggunakan Protokol Feige Fiat Shamir Untuk Verifikasi Tiket Rahasia,2016-08-01 00:00:00,SupportedSources.CROSSREF,10.31937/ti.v7i2.355,,6,"http://ejournals.umn.ac.id/index.php/TI/article/download/355/321
http://ejournals.umn.ac.id/index.php/TI/article/download/355/321
http://dx.doi.org/10.31937/ti.v7i2.355"
"Tatsuo Mitani,Akira Otsuka",Traceability in Permissioned Blockchain,2019-07-01 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.1109/Blockchain.2019.00045,"In this paper, we propose the traceability of assets in a permissioned blockchain connected with a permissionless blockchain. We make traceability of assets in the permissioned blockchain be defined and be expressed as a hidden Markov model. There exists no dishonest increase and decrease of assets in this model. The condition is called balance. As we encrypt this model with fully homomorphic encryption and apply the zero knowledge proof of plaintext knowledge, we show that the trace-ability and balance of the permissioned blockchain are able to be proved in zero knowledge to the permissionless blockchain with concealing the asset allocation of the permissioned blockchain.",7,https://www.semanticscholar.org/paper/9a94f839b960382f3c4dc7da4c50d17a5cb2d0fa
"van Rijmenam, M.,Ryan, P.",Blockchain and poverty,2018-09-03 00:00:00,SupportedSources.CROSSREF,10.4324/9780429457715-4,,8,http://dx.doi.org/10.4324/9780429457715-4
"Gomathi, S.,Finney, M.,Pajila, P.",Blockchain,2020-11-09 00:00:00,SupportedSources.CROSSREF,10.1201/9781003004998-2,,9,http://dx.doi.org/10.1201/9781003004998-2
