authors,title,pub_date,source,doi,abstract,rank,url
Keith Sharp,Stochastic differential equations in finance,1990-05-01 00:00:00,SupportedSources.OPENALEX,10.1016/0096-3003(90)90041-z,,0,"https://openalex.org/W2007434528
https://doi.org/10.1016/0096-3003(90)90041-z"
"Willis, Geoff","Wealth, income, earnings and the statistical mechanics of flow systems",None,SupportedSources.CORE,,"This paper looks at empirical data from economics regarding wealth, earnings and income, alongside a flow model for an economy based on the general Lotka-Volterra models of Levy & Solomon. The data and modelling suggest that a simple economic system might provide a tractable model for giving an exact statistical mechanical solution for an 'out of equilibrium' flow model. This might also include an exact mathematical definition of a 'dissipative structure' derived from maximum entropy considerations. This paper is primarily a qualitative discussion of how such a mathematical proof might be achieved.wealth; earnings; income; entropy; lotka; volterra; dissipative",1,https://core.ac.uk/download/pdf/6722931.pdf
"Fischer, Markus,Livieri, Giulia",Continuous time mean-variance portfolio optimization through the mean field approach,2016-01-01 00:00:00,SupportedSources.CORE,10.1051/ps/2016001,"A simple mean-variance portfolio optimization problem in continuous time is solved using the mean field approach. In this approach, the original optimal control problem, which is time inconsistent, is viewed as the McKean\u2013Vlasov limit of a family of controlled many-component weakly interacting systems. The prelimit problems are solved by dynamic programming, and the solution to the original problem is obtained by passage to the limit",2,https://core.ac.uk/download/53530719.pdf
"Yao-Jia Zhang,Tao Chen,Nan-jing Huang,Xue-song Li",Stochastic differential variational inequalities with applications,2022-12-16 09:37:48+00:00,SupportedSources.ARXIV,,"In this paper, we introduce and study a stochastic differential variational
inequality (SDVI) which consists of a stochastic differential equation and a
stochastic variational inequality. We obtain the existence and uniqueness of
the solutions for SDVI by using the iteration method and Gronwall's inequality.
Moreover, we show the convergence of Euler scheme for solving SDVI under some
mild conditions. Finally, we apply the obtained results to solve the electrical
circuits with diodes and the collapse of the bridge problems in stochastic
environment.",3,"http://arxiv.org/pdf/2212.08366v1
http://arxiv.org/abs/2212.08366v1
http://arxiv.org/pdf/2212.08366v1"
Zhen Wu,Fully coupled FBSDE with Brownian motion and Poisson process in stopping time duration,2003-01-01 00:00:00,SupportedSources.INTERNET_ARCHIVE,10.1017/s1446788700003281,"We first give the existence and uniqueness result and a comparison theorem for backward stochastic differential equations with Brownian motion and Poisson process as the noise source in stopping time (unbounded) duration. Then we obtain the existence and uniqueness result for Mly coupled forwardbackward stochastic differential equation with Brownian motion and Poisson process in stopping time (unbounded) duration. We also proved a comparison theorem for this kind of equation. 2000 Mathematics subject classification: primary 60H10,60G40. So v < x, a.s. and M v _ > 0. In the first equation of (4.4), the noncontinuous part of M, is only produced by random measure N, from (H4.2), AM V >-M V ., M , = M , so M v = 0, when v < r. We can introduce (M M Af"" U"" V,), t e [v, r], which satisfies use, available at https://www.cambridge.org/core/terms. https://doi.",4,https://web.archive.org/web/20180726160608/https://www.cambridge.org/core/services/aop-cambridge-core/content/view/7F8742BA7D87274548A5C463D7E7EF78/S1446788700003281a.pdf/div-class-title-fully-coupled-fbsde-with-brownian-motion-and-poisson-process-in-stopping-time-duration-div.pdf
"Kim, J.",Measure valued solutions to the stochastic Euler equations in $$\mathbb {R}^d$$ R d,2015-09-25 00:00:00,SupportedSources.CROSSREF,10.1007/s40072-015-0060-z,,5,"http://link.springer.com/content/pdf/10.1007/s40072-015-0060-z.pdf
http://link.springer.com/article/10.1007/s40072-015-0060-z/fulltext.html
http://link.springer.com/content/pdf/10.1007/s40072-015-0060-z
http://dx.doi.org/10.1007/s40072-015-0060-z"
"Hult, Henrik,Samorodnitsky, Gennady",Tail probabilities for infinite series of regularly varying random  vectors,2008-10-31 00:00:00,SupportedSources.CORE,10.3150/08-bej125,"A random vector $X$ with representation $X=\sum_{j\geq0}A_jZ_j$ is
considered. Here, $(Z_j)$ is a sequence of independent and identically
distributed random vectors and $(A_j)$ is a sequence of random matrices,
`predictable' with respect to the sequence $(Z_j)$. The distribution of $Z_1$
is assumed to be multivariate regular varying. Moment conditions on the
matrices $(A_j)$ are determined under which the distribution of $X$ is
regularly varying and, in fact, `inherits' its regular variation from that of
the $(Z_j)$'s. We compute the associated limiting measure. Examples include
linear processes, random coefficient linear processes such as stochastic
recurrence equations, random sums and stochastic integrals.Comment: Published in at http://dx.doi.org/10.3150/08-BEJ125 the Bernoulli
  (http://isi.cbs.nl/bernoulli/) by the International Statistical
  Institute/Bernoulli Society (http://isi.cbs.nl/BS/bshome.htm",6,http://arxiv.org/abs/math/0702112
"Xi Geng,Sheng Wang",Non-degeneracy of Stochastic Line Integrals,2022-02-06 21:33:45+00:00,SupportedSources.ARXIV,,"We derive quantitative criteria for the existence of density for stochastic
line integrals and iterated line integrals along solutions of hypoelliptic
differential equations driven by fractional Brownian motion. As an application,
we also study the signature uniqueness problem for these rough differential
equations.",7,"http://arxiv.org/pdf/2202.02858v1
http://arxiv.org/abs/2202.02858v1
http://arxiv.org/pdf/2202.02858v1"
"Yubin Lu,Yang Li,Jinqiao Duan",Extracting Stochastic Governing Laws by Nonlocal Kramers-Moyal Formulas,2021-08-28 04:56:51+00:00,SupportedSources.ARXIV,10.1098/rsta.2021.0195,"With the rapid development of computational techniques and scientific tools,
great progress of data-driven analysis has been made to extract governing laws
of dynamical systems from data. Despite the wide occurrences of non-Gaussian
fluctuations, the effective data-driven methods to identify stochastic
differential equations with non-Gaussian L\'evy noise are relatively few so
far. In this work, we propose a data-driven approach to extract stochastic
governing laws with both (Gaussian) Brownian motion and (non-Gaussian) L\'evy
motion, from short bursts of simulation data. Specifically, we use the
normalizing flows technology to estimate the transition probability density
function (solution of nonlocal Fokker-Planck equation) from data, and then
substitute it into the recently proposed nonlocal Kramers-Moyal formulas to
approximate L\'evy jump measure, drift coefficient and diffusion coefficient.
We demonstrate that this approach can learn the stochastic differential
equation with L\'evy motion. We present examples with one- and two-dimensional,
decoupled and coupled systems to illustrate our method. This approach will
become an effective tool for discovering stochastic governing laws and
understanding complex dynamical behaviors.",8,"http://arxiv.org/pdf/2108.12570v2
http://dx.doi.org/10.1098/rsta.2021.0195
http://arxiv.org/abs/2108.12570v2
http://arxiv.org/pdf/2108.12570v2"
"Kristina Rognlien Dahl,Jasmina Djordevic",Stochastic optimal control of pre-exposure prophylaxis for HIV infection,2020-09-08 09:12:10+00:00,SupportedSources.ARXIV,,"In this paper, we study the stochastic optimal control problem for the PReP
vaccine in the stochastic model for HIV/AIDS with PReP. By using the stochastic
maximum principle, we derive the stochastic optimal control of PReP for the
unconstrained control problem, as well as for two different types of budget
constrains. We illustrate the results by a numerical example. We first study
the PReP stochastic differential equation dynamics with a constant,
deterministic PReP treatment rate. Then, we compare this to the stochastic
optimal control in the unconstrained case.",9,"http://arxiv.org/pdf/2009.03594v1
http://arxiv.org/abs/2009.03594v1
http://arxiv.org/pdf/2009.03594v1"
