authors,title,pub_date,source,doi,abstract,rank,url
Keith P. Sharp,Stochastic differential equations in finance,1990-05-01 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.1016/0096-3003(90)90041-Z,,0,https://www.semanticscholar.org/paper/b9d83ab239e095de42c99270b17a330c085f0eb2
M. Richter,Stochastic differential equations with applications in economics and finance,None,SupportedSources.SEMANTIC_SCHOLAR,,,1,https://www.semanticscholar.org/paper/022094bd2978c4e308e3f9a63e9369c675d335b5
中山 季之,Stochastic differential equations and mathematical finance = 確率微分方程式と数理ファイナンス,None,SupportedSources.SEMANTIC_SCHOLAR,,,2,https://www.semanticscholar.org/paper/048ca54577c1d4fab6371de8f97cc8fb0c79e75f
"Wolf, D.",Stochastic differential equations,None,SupportedSources.CROSSREF,10.1007/bfb0105462,,3,"http://link.springer.com/content/pdf/10.1007/BFb0105462.pdf
http://dx.doi.org/10.1007/bfb0105462"
"Van Kampen, N.",Stochastic differential equations,1976-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/0370-1573(76)90029-6,,4,"https://api.elsevier.com/content/article/PII:0370157376900296?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:0370157376900296?httpAccept=text/plain
http://dx.doi.org/10.1016/0370-1573(76)90029-6"
"Borzì, A.",Stochastic differential equations,2020-04-13 00:00:00,SupportedSources.CROSSREF,10.1201/9781351190398-13,,5,http://dx.doi.org/10.1201/9781351190398-13
"Haba, Z.",Stochastic differential equations,1999-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-94-011-4716-3_3,,6,"http://link.springer.com/content/pdf/10.1007/978-94-011-4716-3_3.pdf
http://dx.doi.org/10.1007/978-94-011-4716-3_3"
,Stochastic differential equations,2004-07-05 00:00:00,SupportedSources.CROSSREF,10.1017/cbo9780511755323.009,,7,"https://www.cambridge.org/core/services/aop-cambridge-core/content/view/4D637C32DE60634F50F83993800C2B67
http://dx.doi.org/10.1017/cbo9780511755323.009"
"Rota, G.",Stochastic differential equations,1976-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/0001-8708(76)90054-2,,8,"https://api.elsevier.com/content/article/PII:0001870876900542?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:0001870876900542?httpAccept=text/plain
http://dx.doi.org/10.1016/0001-8708(76)90054-2"
,Stochastic differential equations,2009-04-30 00:00:00,SupportedSources.CROSSREF,10.1017/cbo9780511809781.010,,9,"https://www.cambridge.org/core/services/aop-cambridge-core/content/view/AFDA410BA5697E948BE7F5C1A92BB6DD
http://dx.doi.org/10.1017/cbo9780511809781.010"
