authors,title,pub_date,source,doi,abstract,rank,url
Keith Sharp,Stochastic differential equations in finance,1990-05-01 00:00:00,SupportedSources.OPENALEX,10.1016/0096-3003(90)90041-z,,0,"https://openalex.org/W2007434528
https://doi.org/10.1016/0096-3003(90)90041-z"
中山 季之,Stochastic differential equations and mathematical finance = 確率微分方程式と数理ファイナンス,None,SupportedSources.SEMANTIC_SCHOLAR,,,1,https://www.semanticscholar.org/paper/048ca54577c1d4fab6371de8f97cc8fb0c79e75f
"Debrabant, K.,Röβler, A.",Derivative-free weak approximation methods for stochastic differential equations in finance,2012-12-05 00:00:00,SupportedSources.CROSSREF,10.1142/9789814436434_0007,,2,http://dx.doi.org/10.1142/9789814436434_0007
"Higham, D.,Kloeden, P.",MAPLE and MATLAB for Stochastic Differential Equations in Finance,2002-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-1-4615-1049-9_9,,3,"http://link.springer.com/content/pdf/10.1007/978-1-4615-1049-9_9.pdf
http://dx.doi.org/10.1007/978-1-4615-1049-9_9"
M. Richter,Stochastic differential equations with applications in economics and finance,None,SupportedSources.SEMANTIC_SCHOLAR,,,4,https://www.semanticscholar.org/paper/022094bd2978c4e308e3f9a63e9369c675d335b5
Ramona Westermann,Smoluchowski-Kramers Approximation for Stochastic Differential Equations and Applications in Behavioral Finance,None,SupportedSources.SEMANTIC_SCHOLAR,,,5,https://www.semanticscholar.org/paper/8dee16c215841197e16ae5137b980ac19b5b3321
"Baudoin, F.","Conditioned stochastic differential equations: theory, examples and application to finance",2002-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/s0304-4149(02)00109-6,,6,"https://api.elsevier.com/content/article/PII:S0304414902001096?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:S0304414902001096?httpAccept=text/plain
http://dx.doi.org/10.1016/s0304-4149(02)00109-6"
"Capasso, V.,Bakstein, D.",Stochastic Differential Equations,2012-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-0-8176-8346-7_4,,7,"https://link.springer.com/content/pdf/10.1007/978-0-8176-8346-7_4
http://dx.doi.org/10.1007/978-0-8176-8346-7_4"
,Stochastic Differential Equations,2011-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-642-11079-5,,8,"http://link.springer.com/content/pdf/10.1007/978-3-642-11079-5.pdf
http://link.springer.com/content/pdf/10.1007/978-3-642-11079-5
http://dx.doi.org/10.1007/978-3-642-11079-5"
"Protter, P.",Stochastic Differential Equations,1990-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-662-02619-9_6,,9,"http://link.springer.com/content/pdf/10.1007/978-3-662-02619-9_6
http://dx.doi.org/10.1007/978-3-662-02619-9_6"
"Peng, S.",Stochastic Differential Equations,2019-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-662-59903-7_5,,10,"http://link.springer.com/content/pdf/10.1007/978-3-662-59903-7_5
http://dx.doi.org/10.1007/978-3-662-59903-7_5"
"Durrett, R.",Stochastic Differential Equations,2018-03-29 00:00:00,SupportedSources.CROSSREF,10.1201/9780203738283-5,,11,http://dx.doi.org/10.1201/9780203738283-5
"Øksendal, B.",Stochastic Differential Equations,2003-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-642-14394-6_5,,12,"http://link.springer.com/content/pdf/10.1007/978-3-642-14394-6_5
http://dx.doi.org/10.1007/978-3-642-14394-6_5"
,Stochastic differential equations,2018-06-27 00:00:00,SupportedSources.CROSSREF,10.1142/9789813225329_0008,,13,http://dx.doi.org/10.1142/9789813225329_0008
"Benaroya, H.",Stationarity and stochastic differential equations,1990-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/0307-904x(90)90024-y,,14,"https://api.elsevier.com/content/article/PII:0307904X9090024Y?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:0307904X9090024Y?httpAccept=text/plain
http://dx.doi.org/10.1016/0307-904x(90)90024-y"
