authors,title,pub_date,source,doi,abstract,rank,url
"Jooyoung Kim,Sojung Go,Kyoung Jin Noh,Sang Jun Park,Soochahn Lee",Fully Leveraging Deep Learning Methods for Constructing Retinal Fundus Photomontages,2021-02-16 00:00:00,SupportedSources.INTERNET_ARCHIVE,10.3390/app11041754,"Retinal photomontages, which are constructed by aligning and integrating multiple fundus images, are useful in diagnosing retinal diseases affecting peripheral retina. We present a novel framework for constructing retinal photomontages that fully leverage recent deep learning methods. Deep learning based object detection is used to define the order of image registration and blending. Deep learning based vessel segmentation is used to enhance image texture to improve registration performance within a two step image registration framework comprising rigid and non-rigid registration. Experimental evaluation demonstrates the robustness of our montage construction method with an increased amount of successfully integrated images as well as reduction of image artifacts.",0,https://web.archive.org/web/20210429010227/https://res.mdpi.com/d_attachment/applsci/applsci-11-01754/article_deploy/applsci-11-01754-v2.pdf
"M. Surucu,A. Woerner,J. Roeske",TU-H-CAMPUS-JeP1-05: Dose Deformation Error Associated with Deformable Image Registration Pathways.,2016-06-01 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.1118/1.4957673,"PURPOSE
To evaluate errors associated with using different deformable image registration (DIR) pathways to deform dose from planning CT (pCT) to cone-beam CT (CBCT).


METHODS
Deforming dose is controversial because of the lack of quality assurance tools. We previously proposed a novel metric to evaluate dose deformation error (DDE) by warping dose information using two methods, via dose and contour deformation. First, isodose lines of the pCT were converted into structures and then deformed to the CBCT using an image based deformation map (dose/structure/deform). Alternatively, the dose matrix from the pCT was deformed to CBCT using the same deformation map, and then the same isodose lines of the deformed dose were converted into structures (dose/deform/structure). The doses corresponding to each structure were queried from the deformed dose and full-width-half-maximums were used to evaluate the dose dispersion. The difference between the FWHM of each isodose level structure is defined as the DDE. Three head-and-neck cancer patients were identified. For each patient, two DIRs were performed between the pCT and CBCT, either deforming pCT-to-CBCT or CBCT-to-pCT. We evaluated the errors associated by using either of these pathways to deform dose. A commercially available, Demons based DIR was used for this study, and 10 isodose levels (20% to 105%) were used to evaluate the errors in various dose levels.


RESULTS
The prescription dose for all patients was 70 Gy. The mean DDE for CT-to-CBCT deformation was 1.0 Gy (range: 0.3-2.0 Gy) and this was increased to 4.3 Gy (range: 1.5-6.4 Gy) for CBCT-to-CT deformation. The mean increase in DDE between the two deformations was 3.3 Gy (range: 1.0-5.4 Gy).


CONCLUSION
The proposed DDF was used to quantitatively estimate dose deformation errors caused by different pathways to perform DIR. Deforming dose using CBCT-to-CT deformation produced greater error than CT-to-CBCT deformation.",1,https://www.semanticscholar.org/paper/01f8f8e7fdcd298e0c77f7f7053747c7857a4248
"Gholipour, Ali,Karimi, Davood,Ouaalam, Abdelhakim,Rollins, Caitlin K.,Velasco-Annis, Clemente",Learning to segment fetal brain tissue from noisy annotations,2022-03-25 00:00:00,SupportedSources.CORE,,"Automatic fetal brain tissue segmentation can enhance the quantitative
assessment of brain development at this critical stage. Deep learning methods
represent the state of the art in medical image segmentation and have also
achieved impressive results in brain segmentation. However, effective training
of a deep learning model to perform this task requires a large number of
training images to represent the rapid development of the transient fetal brain
structures. On the other hand, manual multi-label segmentation of a large
number of 3D images is prohibitive. To address this challenge, we segmented 272
training images, covering 19-39 gestational weeks, using an automatic
multi-atlas segmentation strategy based on deformable registration and
probabilistic atlas fusion, and manually corrected large errors in those
segmentations. Since this process generated a large training dataset with noisy
segmentations, we developed a novel label smoothing procedure and a loss
function to train a deep learning model with smoothed noisy segmentations. Our
proposed methods properly account for the uncertainty in tissue boundaries. We
evaluated our method on 23 manually-segmented test images of a separate set of
fetuses. Results show that our method achieves an average Dice similarity
coefficient of 0.893 and 0.916 for the transient structures of younger and
older fetuses, respectively. Our method generated results that were
significantly more accurate than several state-of-the-art methods including
nnU-Net that achieved the closest results to our method. Our trained model can
serve as a valuable tool to enhance the accuracy and reproducibility of fetal
brain analysis in MRI",2,http://arxiv.org/abs/2203.14962
"Wangbin Ding,Lei Li,Xiahai Zhuang,Liqin Huang",Unsupervised Multi-Modality Registration Network based on Spatially Encoded Gradient Information,2021-08-29 00:00:00,SupportedSources.INTERNET_ARCHIVE,,"Multi-modality medical images can provide relevant or complementary information for a target (organ, tumor or tissue). Registering multi-modality images to a common space can fuse these comprehensive information, and bring convenience for clinical application. Recently, neural networks have been widely investigated to boost registration methods. However, it is still challenging to develop a multi-modality registration network due to the lack of robust criteria for network training. In this work, we propose a multi-modality registration network (MMRegNet), which can perform registration between multi-modality images. Meanwhile, we present spatially encoded gradient information to train MMRegNet in an unsupervised manner. The proposed network was evaluated on MM-WHS 2017. Results show that MMRegNet can achieve promising performance for left ventricle cardiac registration tasks. Meanwhile, to demonstrate the versatility of MMRegNet, we further evaluate the method with a liver dataset from CHAOS 2019. Source code will be released publicly[https://github.com/NanYoMy/mmregnet] once the manuscript is accepted.",3,https://web.archive.org/web/20210902002445/https://arxiv.org/pdf/2105.07392v3.pdf
"Jiyun Li,Xiaomeng Wang,Chen Qian",Mammography Registration for Unsupervised Learning Based on CC and MLO Views,2020-06-26 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.1145/3430199.3430238,"Mammography image usually contains two views in different orientations---Cranial Caudal (CC) and Mediolateral Oblique (MLO). In clinical decision making, the location of the lesions on the CC and MLO views are usually different. And the shape of breast varies greatly among patients, therefore, two views are necessary for evaluating the information in a comprehensively manner. In this paper, we propose an unsupervised registration algorithm based on CC and MLO views of mammography, which learns the deformation function through a Convolutional Neural Network (CNN). This function maps the input image to the corresponding deformation field and generates an image with the same shape as the template image after deformation, so that the doctor can better observe the two views. According to the radiologist's assessment, our work can contribute to medical image analysis and processing while providing novel guidance in learning-based registration and its applications.",4,https://www.semanticscholar.org/paper/48f988df41b905a7ebf78f65a517017bfe4218c9
"Fierrez, Julian,Loyola-González, Octavio,Medina-Pérez, Miguel Angel,Mehnert, Emilio Francisco Ferreira,Monroy, Raúl,Morales, Aythami",Impact of minutiae errors in latent fingerprint identification: assessment and prediction,2021-05-04 00:00:00,SupportedSources.CORE,10.3390/app11094187,"We study the impact of minutiae errors in the performance of latent fingerprint identification systems. We perform several experiments in which we remove ground-truth minutiae from latent fingerprints and evaluate the effects on matching score and rank-n identification using two different matchers and the popular NIST SD27 dataset. We observe how missing even one minutia from a fingerprint can have a significant negative impact on the identification performance. Our experimental results show that a fingerprint which has a top rank can be demoted to a bottom rank when two or more minutiae are missed. From our experimental results, we have noticed that some minutiae are more critical than others to correctly identify a latent fingerprint. Based on this finding, we have created a dataset to train several machine learning models trying to predict the impact of each minutia in the matching score of a fingerprint identification system. Finally, our best-trained model can successfully predict if a minutia will increase or decrease the matching score of a latent fingerprintThis research was partly supported by the National Council of Science and Technology of
Mexico under the scholarship grants 717345 and 005438. Authors J.F. and A.M. are funded by project
BIBECA (RTI2018-101248-B-I00 MINECO/FEDER) and TRESPASS-ETN (MSCA-ITN-2019-860813",5,https://repositorio.uam.es/bitstream/10486/699600/1/impact_loyola_applsci_2021.pdf
"R. Camassa,Dongyang Kuang,Long Lee",A Geodesic Landmark Shooting Algorithm for Template Matching and Its Applications,2017-03-15 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.1137/15M104373X,"We present an efficient landmark shooting algorithm for template matching and its applications. The novelties of the algorithm include the use of a constant matrix to update the search direction of the geodesic shooting, instead of the traditional methods of forward-backward integration for updating the gradient or Newton's optimization, and the use of a nonsmooth conic kernel for the particle system that accelerates the convergence of matching. To investigate the usage of the output quantities computed along the warping algorithm, such as the Hamiltonian metric and the momentum field, we introduce a multiscale decomposition method that separates the scales/components of the momentum and the Hamiltonian metric associated with the deformation. We numerically explore the potential of using the decomposed Hamiltonian metric and momentum vectors as input feature vectors into neural networks for clustering/classification analysis. The results of our numerical experiments are encouraging.",6,https://www.semanticscholar.org/paper/1421e50b30cf0f904e9617793c3798867a6a38f9
"I. Grigorescu,L. Cordero-Grande,A. Edwards,J. Hajnal,M. Modat,M. Deprez",Investigating Image Registration Impact on Preterm Birth Classification: An Interpretable Deep Learning Approach,2019-10-17 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.1007/978-3-030-32875-7_12,,7,https://www.semanticscholar.org/paper/38436b62bffa2f384095d0fbf151511deaff0b11
"Bauer, Stefan,Iftekharuddin, Khan M.,Jakab, Andras,Kalpathy-Cramer, Jayashree,Menze, Bjoern H.,Reza, Syed M.S.",The Multimodal Brain Tumor Image Segmentation Benchmark (BRATS),2015-01-01 00:00:00,SupportedSources.CORE,,"In this paper we report the set-up and results of the Multimodal Brain Tumor Image Segmentation Benchmark (BRATS) organized in conjunction with the MICCAI 2012 and 2013 conferences. Twenty state-of-the-art tumor segmentation algorithms were applied to a set of 65 multi-contrast MR scans of low-and high-grade glioma patients-manually annotated by up to four raters-and to 65 comparable scans generated using tumor image simulation software. Quantitative evaluations revealed considerable disagreement between the human raters in segmenting various tumor sub-regions (Dice scores in the range 74%-85%), illustrating the difficulty of this task. We found that different algorithms worked best for different sub-regions (reaching performance comparable to human inter-rater variability), but that no single algorithm ranked in the top for all sub-regions simultaneously. Fusing several good algorithms using a hierarchical majority vote yielded segmentations that consistently ranked above all individual algorithms, indicating remaining opportunities for further methodological improvements. The BRATS image data and manual annotations continue to be publicly available through an online evaluation system as an ongoing benchmarking resource",8,https://core.ac.uk/download/217291418.pdf
"Zachary Burns,Zhaowei Liu","Untrained, physics-informed neural networks for structured illumination microscopy",2022-07-15 19:02:07+00:00,SupportedSources.ARXIV,10.1364/OE.476781,"In recent years there has been great interest in using deep neural networks
(DNN) for super-resolution image reconstruction including for structured
illumination microscopy (SIM). While these methods have shown very promising
results, they all rely on data-driven, supervised training strategies that need
a large number of ground truth images, which is experimentally difficult to
realize. For SIM imaging, there exists a need for a flexible, general, and
open-source reconstruction method that can be readily adapted to different
forms of structured illumination. We demonstrate that we can combine a deep
neural network with the forward model of the structured illumination process to
reconstruct sub-diffraction images without training data. The resulting
physics-informed neural network (PINN) can be optimized on a single set of
diffraction limited sub-images and thus doesn't require any training set. We
show with simulated and experimental data that this PINN can be applied to a
wide variety of SIM methods by simply changing the known illumination patterns
used in the loss function and can achieve resolution improvements that match
well with theoretical expectations.",9,"http://arxiv.org/pdf/2207.07705v1
http://dx.doi.org/10.1364/OE.476781
http://arxiv.org/abs/2207.07705v1
http://arxiv.org/pdf/2207.07705v1"
"Brandon Chan,J. Rudan,P. Mousavi,M. Kunz",Intraoperative integration of structured light scanning for automatic tissue classification: a feasibility study,2020-03-06 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.1007/s11548-020-02129-8,,10,https://www.semanticscholar.org/paper/b2d8210f53387a08dc64987358204a8a3bc419ad
"Paarth Bir,V. Balas",A Review on Medical Image Analysis with Convolutional Neural Networks,2020-10-02 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.1109/GUCON48875.2020.9231203,"Over the last few years, deep learning has grown rapidly from a promising to a viable option to analyze medical images. With an increase in use of medical imaging for diagnosis and treatment, the field offers a significant potential for research. A major advantage offered by deep learning is using large amounts of data to avoid tedious hand-crafting of features which requires extensive domain knowledge. This review introduces a few popular algorithms using Convolutional Neural Networks(CNNs) being used in the field along with their applications: Classification, Detection, Segmentation, Registration and Image Enhancement. The paper further provides some useful resources on some of the most promising anatomical areas of application in medical image analysis with Convolutional Neural Networks: brain, breast, chest, eye and skin.",11,https://www.semanticscholar.org/paper/5e8274faf73411d53d7078432dd6522c9066af51
"Kaiyue Shen,Chen Guo,Manuel Kaufmann,Juan Jose Zarate,Julien Valentin,Jie Song,Otmar Hilliges",X-Avatar: Expressive Human Avatars,2023-03-09 00:00:00,SupportedSources.INTERNET_ARCHIVE,,"We present X-Avatar, a novel avatar model that captures the full expressiveness of digital humans to bring about life-like experiences in telepresence, AR/VR and beyond. Our method models bodies, hands, facial expressions and appearance in a holistic fashion and can be learned from either full 3D scans or RGB-D data. To achieve this, we propose a part-aware learned forward skinning module that can be driven by the parameter space of SMPL-X, allowing for expressive animation of X-Avatars. To efficiently learn the neural shape and deformation fields, we propose novel part-aware sampling and initialization strategies. This leads to higher fidelity results, especially for smaller body parts while maintaining efficient training despite increased number of articulated bones. To capture the appearance of the avatar with high-frequency details, we extend the geometry and deformation fields with a texture network that is conditioned on pose, facial expression, geometry and the normals of the deformed surface. We show experimentally that our method outperforms strong baselines in both data domains both quantitatively and qualitatively on the animation task. To facilitate future research on expressive avatars we contribute a new dataset, called X-Humans, containing 233 sequences of high-quality textured scans from 20 participants, totalling 35,500 data frames.",12,https://web.archive.org/web/20230311165042/https://arxiv.org/pdf/2303.04805v2.pdf
"R. Srikanchana,K. Woods,J. Xuan,C. Nguyen,Y. Wang",Non-rigid image registration by neural computations,None,SupportedSources.SEMANTIC_SCHOLAR,10.1109/NNSP.2001.943145,"This paper describes a neural computation based nonrigid registration methodology using multiple rigid transforms, in a piece-wise fashion, to model the registration process between images in a sequence. The registration methodology is a hybrid approach that combines registration without exact point correspondence via multi-object principal axes, and registration with point correspondence via polynomial transform. Neural computation is used to combine the derived individual principal axes solutions for each object in a committee machine formulation and to obtain the polynomial transform based on extracted control points using a multi layer perceptrons (MLP). Three examples are presented to demonstrate the techniques involved in the process. The first example uses four Gaussian clusters and focuses on the combination of the multiple transforms into a composite transform using finite mixture modeling techniques. The next examples present the complete process for prostate cancer registration and breast sequence analysis respectively. To verify performance, the results are compared to non-neural based implementations and other existing registration methods.",13,https://www.semanticscholar.org/paper/5445ebff40012cf0f825338d7c6eeff71a91b09a
"N. Maffei,G. Guidi,C. Vecchi,G. Baldazzi,T. Costi",SU-E-J-96: Predictive Neural Network for Parotid Glands Deformation Using IGRT and Dose Warping Systems.,2014-06-01 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.1118/1.4888148,"PURPOSE
Tumor shrinkage and modification of patient anatomy may occur within the weeks of therapy. Dose warping algorithm and IGRT can usefully determinate morphological variations occurring during treatments and predict possible challenge or requirement of re-planning. Using metaanalysis and developing Predictive Neural Network (PNN) is possible to collect information for perspective treatment evaluation of inappropriate dose delivery or to re-planning care course.


METHODS
23 H' N patients, treated using Tomotherapy Unit, were post-processed using deformable hybrid algorithms to generate contours evolution throughout the course. 750 MVCT were elaborated focusing on parotids. For each deformable image registration were generated deformable ROIs and re-mapped to dose grid to accumulate dose. A nomogram was developed to evaluate Volume (V) and Dose (D) variations. Using Moving Average (MA) function and PNN were identified the weeks when re-plan should be predictable.


RESULTS
The weekly nomogram provided the percentage of patients affected by V and D deviation respect to the first day of treatment. During 1st week of treatment 95% of patients have a ΔV=10% and ΔD=2%. In the 6th week, only 70% of cases remain inside that range. The PNN using Cluster Analysis and Support Vector Machines, highlighted the requirement of warping methods in clinical practice. Validated by 8 patients test cases, PNN allow to classify 2 statistical cluster related to original plan and re-plan requirements. MA with period of 3 and 5 days, predict days of treatment where to locate physics replan. Best statistical benefits can be achieved with evaluation in the 4th week.


CONCLUSION
Body morphing and organ motion during therapy can affect to the dose distribution and induce unexpected or late toxicities. Hybrid deformable registration allows to study the time to re-plan or to adapt treatments. Monitoring large patient's database during treatments, thereby rising accuracy in nomograms, PNN and reproducibility of treatments. The research is partially co-funded by the MoH (GR-2010-2318757) and Tecnologie Avanzate S.r.1.(Italy).",14,https://www.semanticscholar.org/paper/f6a78899b6882ca6ab7917a42fbb7c7e833bf802
"Sahar Abdolmaleki,M. S. Abadeh",Brain MR Image Classification for ADHD Diagnosis Using Deep Neural Networks,2020-02-01 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.1109/MVIP49855.2020.9116877,"Attention-deficit/hyperactivity disorder (ADHD) is one of the most prevalent neurodevelopmental disorder in childhood and adolescence. ADHD diagnosis currently includes psychological tests and depends on ratings of behavioral symptoms, which can be unreliable. Thus, an objective diagnostic tool based on non-invasive imaging can improve the understanding and diagnosis of ADHD. The purpose of this study is classifying brain images by using Artificial Intelligence methods such as clinical decision support system for the diagnosis of ADHD. For this purpose and according to a medical imaging classification system, firstly, image pre-processing is done. Then, a deep multi-modal 3D CNN is trained on GM from structural and fALFF from functional MRI using ADHD-200 training dataset. Finally, with the intention of classifying the extracted features, early and late fusion schemes are employed, and the output scores are classified with the SVM, KNN and LDA algorithms. The evaluation of the proposed approach on the ADHD-200 testing dataset revealed that the presence of personal characteristics alone increased the classification accuracy by 3.79%. In addition, using a combination of early, late fusion and personal characteristics together improved the accuracy of the classification by 5.84%. Among the three classifiers LDA showed better results and achieved a classification accuracy of 74.93%. The comparison of results showed that the combination of early and late fusion as well as considering personal characteristics has a significant effect on enhancing classification accuracy. As a result of this, the reliability of this medical decision support system is increased.",15,https://www.semanticscholar.org/paper/6d522690e1efa486d151aa4c788775cd1858d476
"Dingna Duan,Shunren Xia,Yu Song Meng,Li Wang,Weili Lin,John H. Gilmore,Dinggang Shen,G. Li",Exploring Gyral Patterns of Infant Cortical Folding Based on Multi-view Curvature Information,2017-09-10 00:00:00,SupportedSources.OPENALEX,10.1007/978-3-319-66182-7_2,,16,"https://openalex.org/W2752199675
https://doi.org/10.1007/978-3-319-66182-7_2
https://europepmc.org/articles/pmc5674991?pdf=render"
"Ravi Bansal,Xuejun Hao,Bradley S. Peterson",Morphological covariance in anatomical MRI scans can identify discrete neural pathways in the brain and their disturbances in persons with neuropsychiatric disorders,2015-05-01 00:00:00,SupportedSources.OPENALEX,10.1016/j.neuroimage.2015.02.022,,17,"https://openalex.org/W2076182591
https://doi.org/10.1016/j.neuroimage.2015.02.022"
"Benjamin Chidester,Minh N. Do,Jian Ma",Rotation Equivariance and Invariance in Convolutional Neural Networks,2018-05-31 03:13:41+00:00,SupportedSources.ARXIV,,"Performance of neural networks can be significantly improved by encoding
known invariance for particular tasks. Many image classification tasks, such as
those related to cellular imaging, exhibit invariance to rotation. We present a
novel scheme using the magnitude response of the 2D-discrete-Fourier transform
(2D-DFT) to encode rotational invariance in neural networks, along with a new,
efficient convolutional scheme for encoding rotational equivariance throughout
convolutional layers. We implemented this scheme for several image
classification tasks and demonstrated improved performance, in terms of
classification accuracy, time required to train the model, and robustness to
hyperparameter selection, over a standard CNN and another state-of-the-art
method.",18,"http://arxiv.org/pdf/1805.12301v1
http://arxiv.org/abs/1805.12301v1
http://arxiv.org/pdf/1805.12301v1"
"Haji, Tomoki,Katsuyama, Narumi,Kim, Yuri,Matsumoto, Kenji,Miyazaki, Atsushi,Nakamura, Katsuki,Taira, Masato,Usui, Nobuo",Cortical Regions Encoding Hardness Perception Modulated by Visual Information Identified by Functional Magnetic Resonance Imaging With Multivoxel Pattern Analysis,2019-10-01 00:00:00,SupportedSources.CORE,10.3389/fnsys.2019.00052,"Recent studies have revealed that hardness perception is determined by visual information along with the haptic input. This study investigated the cortical regions involved in hardness perception modulated by visual information using functional magnetic resonance imaging (fMRI) and multivoxel pattern analysis (MVPA). Twenty-two healthy participants were enrolled. They were required to place their left and right hands at the front and back, respectively, of a mirror attached to a platform placed above them while lying in a magnetic resonance scanner. In conditions SFT, MED, and HRD, one of three polyurethane foam pads of varying hardness (soft, medium, and hard, respectively) was presented to the left hand in a given trial, while only the medium pad was presented to the right hand in all trials. MED was defined as the control condition, because the visual and haptic information was congruent. During the scan, the participants were required to push the pad with the both hands while observing the reflection of the left hand and estimate the hardness of the pad perceived by the right (hidden) hand based on magnitude estimation. Behavioral results showed that the perceived hardness was significantly biased toward softer or harder in >73% of the trials in conditions SFT and HRD; we designated these trials as visually modulated (SFTvm and HRDvm, respectively). The accuracy map was calculated individually for each of the pair-wise comparisons of (SFTvm vs. MED), (HRDvm vs. MED), and (SFTvm vs. HRDvm) by a searchlight MVPA, and the cortical regions encoding the perceived hardness with visual modulation were identified by conjunction of the three accuracy maps in group analysis. The cluster was observed in the right sensory motor cortex, left anterior intraparietal sulcus (aIPS), bilateral parietal operculum (PO), and occipito-temporal cortex (OTC). Together with previous findings on such cortical regions, we conclude that the visual information of finger movements processed in the OTC may be integrated with haptic input in the left aIPS, and the subjective hardness perceived by the right hand with visual modulation may be processed in the cortical network between the left PO and aIPS",19,https://core.ac.uk/download/343492801.pdf
"Daniel Hofman,Mario Kovač,Martin Žagar",Framework for 4D medical data compression,2012-01-01 00:00:00,SupportedSources.CORE,,"U ovom radu predložen je novi programski okvir za kompresiju četvero-dimenzionalnih (4D) medicinskih podataka. Arhitektura ovog programskog okvira temelji se na različitim procedurama i algoritmima koji detektiraju vremenske i prostorne zalihosti u ulaznim 4D medicinskim podacima. Pokret kroz vrijeme analizira se pomoću vektora pomaka koji predstavljaju ulazne parametre za neuronske mreže koje se koriste za procjenu pokreta. Kombinacijom segmentacije, pronalaženja odgovarajućih blokova i predikcijom vektora pomaka, zajedno s ekspertnim znanjem moguće je optimirati performanse sustava. Frekvencijska svojstva se analiziraju proširenjem wavelet transformacije na tri dimenzije. Za mirne volumetrijske objekte, moguće je konstruirati različite wavelet pakete s različitim filtrima koji omogućavaju širok raspon analiza frekvencijskih zalihosti. Kombinacijom uklanjanja vremenskih i prostornih zalihosti moguće je postići vrlo visoke omjere kompresije.This work presents a novel framework for four-dimensional (4D) medical data compression architecture. This framework is based on different procedures and algorithms that detect time and spatial (frequency) redundancy in recorded 4D medical data. Motion in time is analyzed through the motion fields that produce input parameters for the neural network used for motion estimation. Combination of segmentation, block matching and motion field prediction along with expert knowledge are incorporated to achieve better performance. Frequency analysis is done through an extension of one dimensional wavelet transformation to three dimensions. For still volume objects different wavelet packets with different filter banks can be constructed, providing a wide range of frequency analysis. With combination of removing temporal and spatial redundancies, very high compression ratio is achieved",20,https://core.ac.uk/download/14446613.pdf
"Nastaran Nourbakhsh Kaashki,P. Hu,A. Munteanu",Deep Learning-Based Automated Extraction of Anthropometric Measurements From a Single 3-D Scan,None,SupportedSources.SEMANTIC_SCHOLAR,10.1109/tim.2021.3106126,"The appearance of 3-D scanners, generating point clouds, has revolutionized anthropometric data collection systems and their applications. Anthropometric data are of paramount importance in several applications, including fashion design, medical diagnosis, and virtual character modeling, all of which require a fully automatic anthropometric measurement extraction method. 3-D-based methods for anthropometric measurement extraction becomes more and more popular due to their improved accuracy compared to classical image-based approaches. Existing 3-D methods can be mainly classified into two categories: landmark and template-based methods. The former is highly dependent on the estimated landmarks which are highly sensitive to noise in the input or missing data. The latter has to iteratively solve an objective function to deform a body template to fit the scan, which is time-consuming while being also sensitive to noise and missing data. In this study, we propose the first approach for automatic contact-less anthropometric measurements extraction based on deep-learning (AM-DL). A novel module dubbed multiscale EdgeConv is proposed to learn local features from point clouds at multiple scales. Multiscale EdgeConv can be directly integrated with other neural networks for various tasks, e.g., classification of point clouds. We exploit this module to design an encoder–decoder architecture that learns to deform a template model to fit a given scan. The measurement values are then calculated on the deformed template model. To evaluate the proposed method, 27 female and 25 male subjects were scanned using a photogrametry-based scanner and measured by an experienced tailor. Experimental results on the synthetic ModelNet40 dataset and on the real scans demonstrate that the proposed method outperforms state-of-the-art methods, and performs sufficiently close to a professional tailor.",21,https://www.semanticscholar.org/paper/3d7631e93d285302f02bfa819bbc6061a60d8e60
