authors,title,pub_date,source,doi,abstract,rank,url
Elizabeth McKenzie,A Neural Network Approach to Deformable Image Registration,None,SupportedSources.SEMANTIC_SCHOLAR,,,0,https://www.semanticscholar.org/paper/05a25d08a3118d65237b5d9c50dc9f4bd215498a
"Srikanchana, R.,Xuan, J.,Freedman, M.,Nguyen, C.,Wang, Y.",Non-Rigid Image Registration by Neural Computation,2004-01-01 00:00:00,SupportedSources.CROSSREF,10.1023/b:vlsi.0000027488.23703.ba,,1,http://dx.doi.org/10.1023/b:vlsi.0000027488.23703.ba
"Liu, J.",Deformable Model-Based Image Registration,2007-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-0-387-68413-0_15,,2,"http://link.springer.com/content/pdf/10.1007/978-0-387-68413-0_15.pdf
http://dx.doi.org/10.1007/978-0-387-68413-0_15"
"Muenzing, S.,van Ginneken, B.,Pluim, J.",On Combining Algorithms for Deformable Image Registration,2012-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-642-31340-0_27,,3,"http://link.springer.com/content/pdf/10.1007/978-3-642-31340-0_27
http://dx.doi.org/10.1007/978-3-642-31340-0_27"
"Sotiras, A.,Ou, Y.,Paragios, N.,Davatzikos, C.",Graph-based Deformable Image Registration,2015-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-0-387-09749-7_18,,4,"https://link.springer.com/content/pdf/10.1007/978-0-387-09749-7_18
http://dx.doi.org/10.1007/978-0-387-09749-7_18"
"I. Elhanany,M. Sheinfeld,A. Beck,Y. Kadmon,N. Tal,D. Tirosh",Robust image registration based on feedforward neural networks,2000-10-08 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.1109/ICSMC.2000.886068,"A novel approach to accurate and robust image registration using feedforward neural networks is presented. Common registration schemes utilize some form of similarity measures in order to evaluate affine transformation parameters. In the proposed scheme, feedforward neural networks are employed as a means of providing translation, rotation and scaling parameters with respect to reference and observed image sets. Discrete cosine transform (DCT) features are extracted as inputs to the network. Experimental results with several deformed and noisy images indicate that the proposed algorithm is both accurate and remarkably robust to diverse noisy conditions.",5,https://www.semanticscholar.org/paper/aca05b6972117368750c9a8c2172e0033b8e4eeb
"Veress, A.,Phatak, N.,Weiss, J.",Deformable Image Registration with Hyperelastic Warping,None,SupportedSources.CROSSREF,10.1007/0-306-48608-3_12,,6,"http://link.springer.com/content/pdf/10.1007/0-306-48608-3_12.pdf
http://dx.doi.org/10.1007/0-306-48608-3_12"
"Fujimoto, K.",8. Overview of Deformable Image Registration for Clinical Applications,2023-01-20 00:00:00,SupportedSources.CROSSREF,10.6009/jjrt.2023-2136,,7,"https://www.jstage.jst.go.jp/article/jjrt/79/1/79_2023-2136/_pdf
http://dx.doi.org/10.6009/jjrt.2023-2136"
"Qu, L.,Wan, W.,Guo, K.,Liu, Y.,Tang, J.,Li, X.,Wu, J.",Triple-Input-Unsupervised neural Networks for deformable image registration,2021-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/j.patrec.2021.08.032,,8,"https://api.elsevier.com/content/article/PII:S0167865521003287?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:S0167865521003287?httpAccept=text/plain
http://dx.doi.org/10.1016/j.patrec.2021.08.032"
"Tang, S.,Cong, W.,Yang, J.,Fu, T.,Song, H.,Ai, D.,Wang, Y.",Local statistical deformation models for deformable image registration,2018-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/j.neucom.2018.03.039,,9,"https://api.elsevier.com/content/article/PII:S0925231218304090?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:S0925231218304090?httpAccept=text/plain
http://dx.doi.org/10.1016/j.neucom.2018.03.039"
"Shah, K.",Improving Precision of Deformable Image Registration,None,SupportedSources.CROSSREF,10.17918/00001347,,10,http://dx.doi.org/10.17918/00001347
"Anbang Xu,Ping Guo",Image Registration with Regularized Neural Network,2006-10-03 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.1007/11893257_32,,11,https://www.semanticscholar.org/paper/5b765d411c0e0ca192bf5beea5a2ddf32d4a7c14
"Calusi, S.,Labanca, G.,Noferini, L.,Talamonti, C.,Simontacchi, G.,Pallotta, S.",Accuracy of a deformable image registration algorithm,2016-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/j.ejmp.2016.01.032,,12,"https://api.elsevier.com/content/article/PII:S112017971600034X?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:S112017971600034X?httpAccept=text/plain
http://dx.doi.org/10.1016/j.ejmp.2016.01.032"
"S. Phandi,C. Velayutham",Neural Network Based Image Registration Using Synthetic Reference Image Rotation,2018-05-16 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.1007/978-3-030-00665-5_88,,13,https://www.semanticscholar.org/paper/dd4935366f229eab3de4a89fbd7e07065f0f8df2
