authors,title,pub_date,source,doi,abstract,rank,url
"Lei Qu,Wan Wan,Kaixuan Guo,Yu Liu,Jun Tang,Xiaolei Li,Jun Wu",Triple-Input-Unsupervised neural Networks for deformable image registration,2021-11-01 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.1016/j.patrec.2021.08.032,,0,https://www.semanticscholar.org/paper/51bf2cc2e5085ba8e958eddfceffd85a00e3bfb1
Elizabeth McKenzie,A Neural Network Approach to Deformable Image Registration,None,SupportedSources.SEMANTIC_SCHOLAR,,,1,https://www.semanticscholar.org/paper/05a25d08a3118d65237b5d9c50dc9f4bd215498a
"Ravi Shanker,H. Sankesara,Surendra Nagar,M. Bhattacharya",RESPNet: resource-efficient and structure-preserving network for deformable image registration,2022-09-30 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.1007/s11227-022-04840-6,,2,https://www.semanticscholar.org/paper/636410ad8cb014d92bc7c99956a94423933cf077
"Cetin, O.,Shu, Y.,Flinner, N.,Ziegler, P.,Wild, P.,Koeppl, H.",Multi-magnification Networks for Deformable Image Registration on Histopathology Images,2022-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-031-11203-4_14,,3,"https://link.springer.com/content/pdf/10.1007/978-3-031-11203-4_14
http://dx.doi.org/10.1007/978-3-031-11203-4_14"
"Ahmad, S.,Khan, M.",Deformable image registration based on elastodynamics,2015-05-27 00:00:00,SupportedSources.CROSSREF,10.1007/s00138-015-0690-1,,4,"http://link.springer.com/content/pdf/10.1007/s00138-015-0690-1.pdf
http://link.springer.com/article/10.1007/s00138-015-0690-1/fulltext.html
http://link.springer.com/content/pdf/10.1007/s00138-015-0690-1
http://dx.doi.org/10.1007/s00138-015-0690-1"
"Cai, Y.,Guo, X.,Zhong, Z.,Mao, W.",Dynamic meshing for deformable image registration,2015-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/j.cad.2014.08.009,,5,"https://api.elsevier.com/content/article/PII:S001044851400178X?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:S001044851400178X?httpAccept=text/plain
http://dx.doi.org/10.1016/j.cad.2014.08.009"
"Sarudis, S.,Karlsson, A.,Bibac, D.,Nyman, J.,Bäck, A.",[P232] Deformable image registration for CT-images of the thorax region,2018-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/j.ejmp.2018.06.518,,6,"https://api.elsevier.com/content/article/PII:S1120179718310007?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:S1120179718310007?httpAccept=text/plain
http://dx.doi.org/10.1016/j.ejmp.2018.06.518"
"Spinko, V.,Shi, D.,Ng, W.,Leong, J.",Gabor Neural Network for Endoscopic Image Registration,2006-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/11760023_70,,7,"http://link.springer.com/content/pdf/10.1007/11760023_70.pdf
http://dx.doi.org/10.1007/11760023_70"
"Fedorov, A.,Risholm, P.,Wells, W.",Deformable Registration for IGT,2013-11-25 00:00:00,SupportedSources.CROSSREF,10.1007/978-1-4614-7657-3_14,,8,"http://link.springer.com/content/pdf/10.1007/978-1-4614-7657-3_14
http://dx.doi.org/10.1007/978-1-4614-7657-3_14"
"Calusi, S.,Labanca, G.,Noferini, L.,Talamonti, C.,Simontacchi, G.,Pallotta, S.",Accuracy of a deformable image registration algorithm,2016-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/j.ejmp.2016.01.032,,9,"https://api.elsevier.com/content/article/PII:S112017971600034X?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:S112017971600034X?httpAccept=text/plain
http://dx.doi.org/10.1016/j.ejmp.2016.01.032"
