authors,title,pub_date,source,doi,abstract,rank,url
,Coherent Risk Metrics,None,SupportedSources.CROSSREF,10.1057/9781137448200.0031,,0,http://dx.doi.org/10.1057/9781137448200.0031
"Philippe Artzner,Freddy Delbaen,Jean-Marc Eber,David Heath",Coherent Measures of Risk,2002-01-01 00:00:00,SupportedSources.OPENALEX,10.1017/cbo9780511615337.007,,1,"https://openalex.org/W1568386005
https://doi.org/10.1017/cbo9780511615337.007"
,Coherent measures of risk,2014-08-07 00:00:00,SupportedSources.CROSSREF,10.1017/cbo9781139017398.009,,2,"https://www.cambridge.org/core/services/aop-cambridge-core/content/view/62425CFD8F05E65FBB54540115C04F79
http://dx.doi.org/10.1017/cbo9781139017398.009"
"Hans Föllmer,Alexander Schied",Coherent and convex risk measures,2010-01-01 00:00:00,SupportedSources.OPENALEX,,,3,https://openalex.org/W2588440186
"H. Föllmer,A. Schied",Coherent and convex risk measures,None,SupportedSources.SEMANTIC_SCHOLAR,,,4,https://www.semanticscholar.org/paper/33b55872f5f5642b9d2fc6152ae14e78e24e49be
"Slovic, P.",Convergent validation of risk taking measures.,1962-01-01 00:00:00,SupportedSources.CROSSREF,10.1037/h0048048,,5,"http://psycnet.apa.org/journals/abn/65/1/68.pdf
http://dx.doi.org/10.1037/h0048048"
G. Trzpiot,Coherent Risk Measures in Multiperiod Models,None,SupportedSources.SEMANTIC_SCHOLAR,,,6,https://www.semanticscholar.org/paper/94033a15a5f7cfc3bb98b3ae484633a2a75a9232
H. Föllmer,Consistency Properties of Systemic Risk Measures,2019-05-01 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.1142/9781786341952_0004,,7,https://www.semanticscholar.org/paper/e0c732ff5eb3339a8833fd98cb4c400a30886102
Stefano Benati,Coherent Risk Measures and Linear Programming,2001-01-01 00:00:00,SupportedSources.OPENALEX,10.1007/978-3-7908-1814-7_21,,8,"https://openalex.org/W2253720869
https://doi.org/10.1007/978-3-7908-1814-7_21"
"Hoffmann, H.,Meyer-Brandis, T.,Svindland, G.",Risk-consistent conditional systemic risk measures,2016-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/j.spa.2016.01.002,,9,"https://api.elsevier.com/content/article/PII:S030441491600003X?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:S030441491600003X?httpAccept=text/plain
http://dx.doi.org/10.1016/j.spa.2016.01.002"
"Wei, L.,Hu, Y.",Coherent and convex risk measures for portfolios with applications,2014-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/j.spl.2014.03.005,,10,"https://api.elsevier.com/content/article/PII:S0167715214000984?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:S0167715214000984?httpAccept=text/plain
http://dx.doi.org/10.1016/j.spl.2014.03.005"
,Reliability of Risk Reducing Measures,2020-03-13 00:00:00,SupportedSources.CROSSREF,10.1002/9783527696918.ch17,,11,"https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2F9783527696918.ch17
https://onlinelibrary.wiley.com/doi/pdf/10.1002/9783527696918.ch17
https://onlinelibrary.wiley.com/doi/pdf/10.1002/9783527696918.ch17
http://dx.doi.org/10.1002/9783527696918.ch17"
