authors,title,pub_date,source,doi,abstract,rank,url
Yuji Yoshida,Coherent Risk Measures Derived from Utility Functions,2018-10-15 00:00:00,SupportedSources.OPENALEX,10.1007/978-3-030-00202-2_2,,0,"https://openalex.org/W2890252705
https://doi.org/10.1007/978-3-030-00202-2_2"
,Coherent Risk Metrics,None,SupportedSources.CROSSREF,10.1057/9781137448200.0031,,1,http://dx.doi.org/10.1057/9781137448200.0031
G. Trzpiot,Multivalued coherent risk measures,None,SupportedSources.SEMANTIC_SCHOLAR,,,2,https://www.semanticscholar.org/paper/0b5b7feb4799b520ca9741afa4596cf2a5edbd43
Panos M. Pardalos,On Some Aspects of Coherent Risk Measures and their Applications,2011-08-04 00:00:00,SupportedSources.OPENALEX,,,3,https://openalex.org/W2097512955
"M. Dempster,G. Pflug,G. Mitra",Higher Moment Coherent Risk Measures,2008-12-22 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.1201/9781420081923.ch13,,4,https://www.semanticscholar.org/paper/741403103131c97e96d7977a178df5dee2957bcd
"Hans Föllmer,Alexander Schied",Coherent and convex risk measures,2010-01-01 00:00:00,SupportedSources.OPENALEX,,,5,https://openalex.org/W2588440186
"H. Föllmer,A. Schied",Coherent and convex risk measures,None,SupportedSources.SEMANTIC_SCHOLAR,,,6,https://www.semanticscholar.org/paper/33b55872f5f5642b9d2fc6152ae14e78e24e49be
G. Trzpiot,Coherent Risk Measures in Multiperiod Models,None,SupportedSources.SEMANTIC_SCHOLAR,,,7,https://www.semanticscholar.org/paper/94033a15a5f7cfc3bb98b3ae484633a2a75a9232
George Stoica,Relevant coherent measures of risk,2006-09-01 00:00:00,SupportedSources.OPENALEX,10.1016/j.jmateco.2006.03.006,,8,"https://openalex.org/W1975969223
https://doi.org/10.1016/j.jmateco.2006.03.006"
Stefano Benati,Coherent Risk Measures and Linear Programming,2001-01-01 00:00:00,SupportedSources.OPENALEX,10.1007/978-3-7908-1814-7_21,,9,"https://openalex.org/W2253720869
https://doi.org/10.1007/978-3-7908-1814-7_21"
"Philippe Artzner,Freddy Delbaen,Jean-Marc Eber,David Heath",Coherent Measures of Risk,2002-01-01 00:00:00,SupportedSources.OPENALEX,10.1017/cbo9780511615337.007,,10,"https://openalex.org/W1568386005
https://doi.org/10.1017/cbo9780511615337.007"
,Coherent measures of risk,2014-08-07 00:00:00,SupportedSources.CROSSREF,10.1017/cbo9781139017398.009,,11,"https://www.cambridge.org/core/services/aop-cambridge-core/content/view/62425CFD8F05E65FBB54540115C04F79
http://dx.doi.org/10.1017/cbo9781139017398.009"
"W. Ogryczak,M. Opolska-Rutkowska",Coherent Risk Measures and Stochastic Dominance,None,SupportedSources.SEMANTIC_SCHOLAR,,,12,https://www.semanticscholar.org/paper/a4251db4e810b44694609e4c2a8e6169cb90a830
"Bonnans, J.",Risk Measures,2019-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-030-14977-2_4,,13,"http://link.springer.com/content/pdf/10.1007/978-3-030-14977-2_4
http://dx.doi.org/10.1007/978-3-030-14977-2_4"
,Risk measures,2003-12-11 00:00:00,SupportedSources.CROSSREF,10.1017/cbo9780511753893.012,,14,"https://www.cambridge.org/core/services/aop-cambridge-core/content/view/75BFE6C8C00EE5D4D625A983A17F40BB
http://dx.doi.org/10.1017/cbo9780511753893.012"
,Risk measures,2009-09-17 00:00:00,SupportedSources.CROSSREF,10.1017/cbo9780511812156.008,,15,"https://www.cambridge.org/core/services/aop-cambridge-core/content/view/8CD9C7D982AA05A39D01C0B02737E7C1
http://dx.doi.org/10.1017/cbo9780511812156.008"
,Risk Measures,2015-09-28 00:00:00,SupportedSources.CROSSREF,10.1142/9789814641944_0015,,16,http://dx.doi.org/10.1142/9789814641944_0015
Shigeo Kusuoka,On law invariant coherent risk measures,2001-01-01 00:00:00,SupportedSources.OPENALEX,10.1007/978-4-431-67891-5_4,,17,"https://openalex.org/W1591570634
https://doi.org/10.1007/978-4-431-67891-5_4"
,Alternative Risk Measures,2015-09-12 00:00:00,SupportedSources.CROSSREF,10.1002/9781119205937.ch9,,18,"http://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2F9781119205937.ch9
https://onlinelibrary.wiley.com/doi/full/10.1002/9781119205937.ch9
http://dx.doi.org/10.1002/9781119205937.ch9"
"Hailiang Yang,T. Siu",Coherent Risk Measures for Derivatives,None,SupportedSources.SEMANTIC_SCHOLAR,,,19,https://www.semanticscholar.org/paper/4bf733645d3a9a3d4a0e92ad4cb12ca6e507623e
"Moix, P.",Risk and Risk Measures,2001-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-642-56481-9_2,,20,"http://link.springer.com/content/pdf/10.1007/978-3-642-56481-9_2
http://dx.doi.org/10.1007/978-3-642-56481-9_2"
,Risk and Risk Measures,2011-01-01 00:00:00,SupportedSources.CROSSREF,10.1142/9781848166332_0003,,21,http://dx.doi.org/10.1142/9781848166332_0003
"Roccioletti, S.",Risk Measures and their Properties,2015-12-05 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-658-11908-9_2,,22,"http://link.springer.com/content/pdf/10.1007/978-3-658-11908-9_2
http://dx.doi.org/10.1007/978-3-658-11908-9_2"
,Simple Risk Measures,2012-11-26 00:00:00,SupportedSources.CROSSREF,10.1002/9781118673621.ch3,,23,"https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781118673621.ch3
https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781118673621.ch3
http://dx.doi.org/10.1002/9781118673621.ch3"
"Elisabet Gulevska,Tomas Westman,westman. tomas","Coherent Risk Measures Financial Risk , fall 2010",None,SupportedSources.SEMANTIC_SCHOLAR,,,24,https://www.semanticscholar.org/paper/4a3e5a92c28e2093984fe07a9b645b20384442eb
"Proske, D.",Objective Risk Measures,None,SupportedSources.CROSSREF,10.1007/978-3-540-79555-1_3,,25,"http://link.springer.com/content/pdf/10.1007/978-3-540-79555-1_3.pdf
http://dx.doi.org/10.1007/978-3-540-79555-1_3"
"Jaschke, S.,Küchler, U.",Coherent risk measures and good-deal bounds,2001-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/pl00013530,,26,"http://link.springer.com/content/pdf/10.1007/PL00013530.pdf
http://link.springer.com/article/10.1007/PL00013530/fulltext.html
http://link.springer.com/content/pdf/10.1007/PL00013530
http://dx.doi.org/10.1007/pl00013530"
"Rüschendorf, L.",Risk Measures for Real Risks,2012-08-30 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-642-33590-7_7,,27,"https://link.springer.com/content/pdf/10.1007/978-3-642-33590-7_7
http://dx.doi.org/10.1007/978-3-642-33590-7_7"
"Zhiping Chen,Qianhui Hu",On Coherent Risk Measures Induced by Convex Risk Measures,2018-06-01 00:00:00,SupportedSources.OPENALEX,10.1007/s11009-017-9584-1,,28,"https://openalex.org/W2741147126
https://doi.org/10.1007/s11009-017-9584-1"
"Zio, E.",Risk Importance Measures,2011-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-0-85729-470-8_6,,29,"https://link.springer.com/content/pdf/10.1007/978-0-85729-470-8_6
http://dx.doi.org/10.1007/978-0-85729-470-8_6"
"MacLean, L.,Ziemba, B.",A Primer on Risk Measures,2014-01-01 00:00:00,SupportedSources.CROSSREF,10.1002/wilm.10288,,30,"https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Fwilm.10288
https://onlinelibrary.wiley.com/doi/full/10.1002/wilm.10288
http://dx.doi.org/10.1002/wilm.10288"
