authors,title,pub_date,source,doi,abstract,rank,url
"Koch-Medina, P.,Munari, C.",Fundamental Theorem of Asset Pricing,2020-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-030-39724-1_7,,0,"http://link.springer.com/content/pdf/10.1007/978-3-030-39724-1_7
http://dx.doi.org/10.1007/978-3-030-39724-1_7"
"Alexandru, V.,Popescu, N.,Zaharescu, A.",A theorem of characterization of residual transcendental extensions of a valuation,1988-01-01 00:00:00,SupportedSources.CROSSREF,10.1215/kjm/1250520346,,1,http://dx.doi.org/10.1215/kjm/1250520346
,Asset Pricing Models,2004-06-25 00:00:00,SupportedSources.CROSSREF,10.1002/9781118673546.ch8,,2,"https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781118673546.ch8
https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781118673546.ch8
http://dx.doi.org/10.1002/9781118673546.ch8"
"Glabadanidis, P.",Asset Pricing Models,2014-01-01 00:00:00,SupportedSources.CROSSREF,10.1057/9781137372871_1,,3,"http://link.springer.com/content/pdf/10.1057/9781137372871_1
http://dx.doi.org/10.1057/9781137372871_1"
,Asset pricing models,2008-03-31 00:00:00,SupportedSources.CROSSREF,10.4324/9780203932025.ch4,,4,"http://www.crcnetbase.com/doi/pdf/10.4324/9780203932025.ch4
http://dx.doi.org/10.4324/9780203932025.ch4"
"Arouri, M.,Jawadi, F.,Nguyen, D.",Asset Pricing Models,2009-11-03 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-7908-2389-9_3,,5,"http://link.springer.com/content/pdf/10.1007/978-3-7908-2389-9_3.pdf
http://dx.doi.org/10.1007/978-3-7908-2389-9_3"
"Nyberg, P.",Asset Pricing Models,2010-01-01 00:00:00,SupportedSources.CROSSREF,10.4135/9781412979290.n20,,6,http://dx.doi.org/10.4135/9781412979290.n20
"Ferson, W.",Asset pricing models,None,SupportedSources.CROSSREF,10.1007/0-387-26336-5_2234,,7,http://dx.doi.org/10.1007/0-387-26336-5_2234
,Asset Pricing Models,2012-03-12 00:00:00,SupportedSources.CROSSREF,10.1002/9781118467336.ch6,,8,"https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781118467336.ch6
https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781118467336.ch6
http://dx.doi.org/10.1002/9781118467336.ch6"
"Lehmann, B.",Asset pricing and intrinsic values,1991-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/0304-3932(91)90036-n,,9,"https://api.elsevier.com/content/article/PII:030439329190036N?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:030439329190036N?httpAccept=text/plain
http://dx.doi.org/10.1016/0304-3932(91)90036-n"
,Asset Valuation: The Theory of Asset Pricing,2009-05-26 00:00:00,SupportedSources.CROSSREF,10.1002/9781118266984.ch8,,10,"https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781118266984.ch8
https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781118266984.ch8
http://dx.doi.org/10.1002/9781118266984.ch8"
"Michelfelder, R.",Empirical analysis of the generalized consumption asset pricing model: Estimating the cost of capital,2015-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/j.jeconbus.2015.04.001,,11,"https://api.elsevier.com/content/article/PII:S0148619515000193?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:S0148619515000193?httpAccept=text/plain
http://dx.doi.org/10.1016/j.jeconbus.2015.04.001"
"Layson, S.,Seaks, T.,Wingler, T.",The measurement of returns in asset pricing models,1985-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/0165-1765(85)90193-4,,12,"https://api.elsevier.com/content/article/PII:0165176585901934?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:0165176585901934?httpAccept=text/plain
http://dx.doi.org/10.1016/0165-1765(85)90193-4"
"Dillschneider, Y.",Standard Transform Analysis for Asset Pricing and Parameter Estimation,2022-01-01 00:00:00,SupportedSources.CROSSREF,10.2139/ssrn.4097097,,13,http://dx.doi.org/10.2139/ssrn.4097097
"Abdul Qadeer,Ahmad, A.",Asset Pricing and Evidence of Price Discovery in Sustainable Equity Portfolios,2021-09-01 00:00:00,SupportedSources.CROSSREF,10.35536/ljb.2021.i1.v10.a4,,14,http://dx.doi.org/10.35536/ljb.2021.i1.v10.a4
"Mondal, D.,Selvaraju, N.",Asset Pricing Through Capital Market Curve,2018-08-07 00:00:00,SupportedSources.CROSSREF,10.1007/978-981-13-0872-7_18,,15,"http://link.springer.com/content/pdf/10.1007/978-981-13-0872-7_18
http://dx.doi.org/10.1007/978-981-13-0872-7_18"
"Huffman, G.",Asset Pricing with Capital Accumulation,1986-01-01 00:00:00,SupportedSources.CROSSREF,10.2307/2526682,,16,http://dx.doi.org/10.2307/2526682
"Poon, S.,Stapleton, R.",VALUATION OF CONTINGENT CLAIMS: EXTENSIONS,2005-01-13 00:00:00,SupportedSources.CROSSREF,10.1093/0199271445.003.0004,,17,"https://academic.oup.com/book/chapter-pdf/44491330/book_36410_section_320101527.ag.pdf
http://dx.doi.org/10.1093/0199271445.003.0004"
,A Model of Asset Pricing and Portfolio Allocation,2015-10-21 00:00:00,SupportedSources.CROSSREF,10.1142/9781783267002_0009,,18,http://dx.doi.org/10.1142/9781783267002_0009
"Gupta, A.,Zeng, W.,Wu, Y.",Asset Pricing Theory,2010-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-0-8176-4987-6_10,,19,"http://link.springer.com/content/pdf/10.1007/978-0-8176-4987-6_10.pdf
http://dx.doi.org/10.1007/978-0-8176-4987-6_10"
,Asset Pricing Theory,2010-09-07 00:00:00,SupportedSources.CROSSREF,10.1002/9781118267790.ch17,,20,"https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781118267790.ch17
https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781118267790.ch17
http://dx.doi.org/10.1002/9781118267790.ch17"
"Zeng, Q.",Asset Pricing Theory,2011-08-19 00:00:00,SupportedSources.CROSSREF,10.1111/j.1475-4932.2011.00756.x,,21,"https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1475-4932.2011.00756.x
http://onlinelibrary.wiley.com/wol1/doi/10.1111/j.1475-4932.2011.00756.x/fullpdf
http://dx.doi.org/10.1111/j.1475-4932.2011.00756.x"
"Giovannetti, B.",Asset pricing under quantile utility maximization,2013-06-11 00:00:00,SupportedSources.CROSSREF,10.1016/j.rfe.2013.05.008,,22,"http://api.elsevier.com/content/article/PII:S1058330013000438?httpAccept=text/xml
http://api.elsevier.com/content/article/PII:S1058330013000438?httpAccept=text/plain
https://onlinelibrary.wiley.com/doi/pdf/10.1016/j.rfe.2013.05.008
https://onlinelibrary.wiley.com/doi/full-xml/10.1016/j.rfe.2013.05.008
https://onlinelibrary.wiley.com/doi/pdf/10.1016/j.rfe.2013.05.008
http://dx.doi.org/10.1016/j.rfe.2013.05.008"
,Asset Pricing,2017-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-319-17885-1_100077,,23,"http://link.springer.com/content/pdf/10.1007/978-3-319-17885-1_100077
http://dx.doi.org/10.1007/978-3-319-17885-1_100077"
"Dempsey, M.",A fundamental model of asset pricing and portfolio allocation,2019-10-18 00:00:00,SupportedSources.CROSSREF,10.4324/9780429424397-12,,24,http://dx.doi.org/10.4324/9780429424397-12
