authors,title,pub_date,source,doi,abstract,rank
"Koch-Medina, P.,Munari, C.",Fundamental Theorem of Asset Pricing,2020-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-030-39724-1_7,,0
"Munk, C.",A Review of General Asset Pricing Theory,2011-06-30 00:00:00,SupportedSources.CROSSREF,10.1093/acprof:oso/9780199575084.003.0004,,1
"Back, K.",Asset pricing for general processes,1991-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/0304-4068(91)90037-t,,2
"Dothan, U.,Williams, J.",A general asset pricing model,1979-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/0165-1765(79)90231-3,,3
"Merdan, H.,Alisen, M.",A mathematical model for asset pricing,2011-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/j.amc.2011.06.028,,4
,Classical Asset Pricing,2015-09-25 00:00:00,SupportedSources.CROSSREF,10.1002/9781119202172.ch5,,5
"Gupta, A.,Zeng, W.,Wu, Y.",Asset Pricing Theory,2010-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-0-8176-4987-6_10,,6
"Zeng, Q.",Asset Pricing Theory,2011-08-19 00:00:00,SupportedSources.CROSSREF,10.1111/j.1475-4932.2011.00756.x,,7
,Asset Pricing Theory,2010-09-07 00:00:00,SupportedSources.CROSSREF,10.1002/9781118267790.ch17,,8
"González-Rivera, G.",Dynamic asset pricing and statistical properties of risk,1998-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/s0148-6195(98)00014-9,,9
,Equilibrium Asset Pricing: A General Theory,2011-01-01 00:00:00,SupportedSources.CROSSREF,10.1142/9781848166332_0018,,10
"Tusset, G.",Asset Pricing Dynamics,2018-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-319-95612-1_6,,11
"Elias, C.",Asset pricing with expectation shocks,2016-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/j.jedc.2016.02.005,,12
"Grauer, R.",Generalized two parameter asset pricing models,1978-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/0304-405x(78)90018-1,,13
"Jeng, J.","Asset Pricing Models: Specification, Data and Theoretical Foundation",2018-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-319-74192-5_1,,14
"Platen, E.,Heath, D.",Various Approaches to Asset Pricing,2006-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-540-47856-0_9,,15
"Protter, P.",A partial introduction to financial asset pricing theory,2001-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/s0304-4149(00)00064-8,,16
,Mathematics of Asset Pricing,2004-01-12 00:00:00,SupportedSources.CROSSREF,10.1017/cbo9780511806643.005,,17
"Fischer, B.,Wermers, R.",An Introduction to Asset Pricing Models,2013-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/b978-0-08-092652-0.00001-7,,18
,Asset Pricing under Uncertainty,2015-09-09 00:00:00,SupportedSources.CROSSREF,10.1002/9781118779712.ch20,,19
"Grüne, L.,Semmler, W.",Asset pricing with dynamic programming,2007-01-06 00:00:00,SupportedSources.CROSSREF,10.1007/s10614-006-9063-1,,20
,Principles of asset pricing,1998-05-26 00:00:00,SupportedSources.CROSSREF,10.4324/9780203017463.pt2,,21
Walter Schachermayer,The Fundamental Theorem of Asset Pricing,2013-06-11 00:00:00,SupportedSources.INTERNET_ARCHIVE,10.1142/9789814417358_0002,The subsequent theorem is one of the pillars supporting the modern theory of Mathematical Finance. Fundamental Theorem of Asset Pricing:,22
,Asset pricing with frictions,2008-09-11 00:00:00,SupportedSources.CROSSREF,10.1017/cbo9780511753909.016,,23
"Lim, K.",Theory and Econometrics of Financial Asset Pricing,2022-08-02 00:00:00,SupportedSources.CROSSREF,10.1515/9783110673951,,24
"Hollstein, F.",“Empirical Asset Pricing” by Wayne Ferson,2021-05-13 00:00:00,SupportedSources.CROSSREF,10.1007/s11408-021-00393-5,,25
,Asset Pricing Models,2004-06-25 00:00:00,SupportedSources.CROSSREF,10.1002/9781118673546.ch8,,26
"Arouri, M.,Jawadi, F.,Nguyen, D.",Asset Pricing Models,2009-11-03 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-7908-2389-9_3,,27
"Nyberg, P.",Asset Pricing Models,2010-01-01 00:00:00,SupportedSources.CROSSREF,10.4135/9781412979290.n20,,28
"Glabadanidis, P.",Asset Pricing Models,2014-01-01 00:00:00,SupportedSources.CROSSREF,10.1057/9781137372871_1,,29
"Ferson, W.",Asset pricing models,None,SupportedSources.CROSSREF,10.1007/0-387-26336-5_2234,,30
,Asset Pricing Models,2012-03-12 00:00:00,SupportedSources.CROSSREF,10.1002/9781118467336.ch6,,31
,Asset pricing models,2008-03-31 00:00:00,SupportedSources.CROSSREF,10.4324/9780203932025.ch4,,32
"Nishimura, K.,Ozaki, H.",Dynamic Asset Pricing,2017-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-4-431-55903-0_8,,33
"Shi, Z.,Zheng, H.",Identification and Estimation of an Asset Pricing Model with Information-Driven Heterogeneity,2016-01-01 00:00:00,SupportedSources.CROSSREF,10.2139/ssrn.2887029,,34
,Introduction to Modern Asset Pricing,2008-01-01 00:00:00,SupportedSources.CROSSREF,10.1142/9789812832504_0001,,35
"Brunnermeier, M.",Asset Pricing under Asymmetric Information,2001-01-25 00:00:00,SupportedSources.CROSSREF,10.1093/0198296983.001.0001,,36
"Kim, B.",Three essays of empirical asset pricing,None,SupportedSources.CROSSREF,10.32657/10356/138331,,37
"Hurn, S.,Siklos, P.",Asset pricing puzzles in finance: Introduction,2006-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/j.najef.2006.03.001,,38
"Madan, D.",Asset pricing theory for two price economies,2014-09-04 00:00:00,SupportedSources.CROSSREF,10.1007/s10436-014-0255-8,,39
,SINGLE PERIOD ASSET PRICING MODELS,2011-01-01 00:00:00,SupportedSources.CROSSREF,10.1142/9789814307949_0006,,40
"Giovannetti, B.",Asset pricing under quantile utility maximization,2013-06-11 00:00:00,SupportedSources.CROSSREF,10.1016/j.rfe.2013.05.008,,41
,Asset Pricing,2017-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-319-17885-1_100077,,42
"Gündüz, G.,Gündüz, Y.",A thermodynamical view on asset pricing,2016-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/j.irfa.2016.01.013,,43
