authors,title,pub_date,source,doi,abstract,rank,url
"Srikanchana, R.,Xuan, J.,Freedman, M.,Nguyen, C.,Wang, Y.",Non-Rigid Image Registration by Neural Computation,2004-01-01 00:00:00,SupportedSources.CROSSREF,10.1023/b:vlsi.0000027488.23703.ba,,0,http://dx.doi.org/10.1023/b:vlsi.0000027488.23703.ba
Elizabeth McKenzie,A Neural Network Approach to Deformable Image Registration,None,SupportedSources.SEMANTIC_SCHOLAR,,,1,https://www.semanticscholar.org/paper/05a25d08a3118d65237b5d9c50dc9f4bd215498a
"Caianiello, E.,Petrosino, A.","Neural Networks, Fuzziness and Image Processing",1994-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-1-4899-1004-2_23,,2,"http://link.springer.com/content/pdf/10.1007/978-1-4899-1004-2_23
http://dx.doi.org/10.1007/978-1-4899-1004-2_23"
朱毅,Image recognition method based on convolutional neural network in non-finite category,2014-09-23 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,,"The invention discloses an image recognition method based on a convolutional neural network in a non-finite category. The method includes the steps of model training, data registration and match recognition, wherein in the model training process, a training sample is input in a convolutional neural network model, the error of a binary code of an output layer and a category binary code of the sample is calculated, and parameters of the model are adjusted; in the data registration process, sample images needing to be registered are input in the convolutional neural network model, and an output result of a hidden layer before the output layer serves as a feature vector and is stored; in the match recognition process, matches to be recognized are input in the convolutional neural network, an output result of the hidden layer before the output layer serves as a feature vector, the feature vector is matched with the registered feature vector, and therefore a match recognition judgment result is acquired.",3,https://www.semanticscholar.org/paper/eb44e1381f9b684108727eda0c50a3888a535093
"Mitchell, R.",Artificial neural networks for image understanding,1994-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/0262-8856(94)90045-0,,4,"https://api.elsevier.com/content/article/PII:0262885694900450?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:0262885694900450?httpAccept=text/plain
http://dx.doi.org/10.1016/0262-8856(94)90045-0"
"Sipes, S.",Image quality reconstruction with neural networks,None,SupportedSources.CROSSREF,10.31979/etd.368v-gxbd,,5,"https://scholarworks.sjsu.edu/cgi/viewcontent.cgi?article=3155&amp;context=etd_theses&amp;unstamped=1
http://dx.doi.org/10.31979/etd.368v-gxbd"
"Dinh-Luan Nguyen,Vinh-Tiep Nguyen,M. Tran,A. Yoshitaka",Deep Convolutional Neural Network in Deformable Part Models for Face Detection,2015-11-25 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.1007/978-3-319-29451-3_53,,6,https://www.semanticscholar.org/paper/f94f366ce14555cf0d5d34248f9467c18241c3ee
"Qi Zhang,Jingyu Xiao,Chunwei Tian,Jerry Chun-Wei Lin,Shichao Zhang",A robust deformed convolutional neural network (CNN) for image denoising,2022-06-15 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.1049/cit2.12110,,7,https://www.semanticscholar.org/paper/c6daaf1c5edb1d31833cecea91cac207b9322e4c
"Murino, V.,Vernazza, G.",Artificial Neural Networks for Image Analysis and Computer Vision,2001-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/s0262-8856(00)00112-8,,8,"https://api.elsevier.com/content/article/PII:S0262885600001128?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:S0262885600001128?httpAccept=text/plain
http://dx.doi.org/10.1016/s0262-8856(00)00112-8"
"Yao Su,Xin Dai,Lifang He,Xiangnan Kong",ABN: Anti-Blur Neural Networks for Multi-Stage Deformable Image Registration,2022-11-01 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.1109/ICDM54844.2022.00057,"Deformable image registration, i.e., the task of aligning multiple images into one coordinate system by non-linear transformation, serves as an essential preprocessing step for neuroimaging data. Recent research on deformable image registration is mainly focused on improving the registration accuracy using multi-stage alignment methods, where the source image is repeatedly deformed in stages by a same neural network until it is well-aligned with the target image. Conventional methods for multi-stage registration can often blur the source image as the pixel/voxel values are repeatedly interpolated from the image generated by the previous stage. However, maintaining image quality such as sharpness during image registration is crucial to medical data analysis. In this paper, we study the problem of anti-blur deformable image registration and propose a novel solution, called Anti-Blur Network (ABN), for multi-stage image registration. Specifically, we use a pair of short-term registration and long-term memory networks to learn the nonlinear deformations at each stage, where the short-term registration network learns how to improve the registration accuracy incrementally and the long-term memory network combines all the previous deformations to allow an interpolation to perform on the raw image directly and preserve image sharpness. Extensive experiments on both natural and medical image datasets demonstrated that ABN can accurately register images while preserving their sharpness.",9,https://www.semanticscholar.org/paper/605555cf258d1582d774f85e3089da646eab40de
