authors,title,pub_date,source,doi,abstract,rank,url
B. Stemper,Rough volatility models,None,SupportedSources.SEMANTIC_SCHOLAR,10.14279/DEPOSITONCE-8422,,0,https://www.semanticscholar.org/paper/e93f0dae9a502077bc359e9408fe418eb1172b3d
Xiaoyan Zhang,Rough Volatility Modelling,None,SupportedSources.SEMANTIC_SCHOLAR,,,1,https://www.semanticscholar.org/paper/eb86e79a913c424e185f2c7548b46036814482bc
"Walcott, R.",Creating an Implied Volatility Surface with Rough Volatility Models,2022-01-01 00:00:00,SupportedSources.CROSSREF,10.2139/ssrn.4289148,,2,http://dx.doi.org/10.2139/ssrn.4289148
,Implied Volatility Models,2012-03-12 00:00:00,SupportedSources.CROSSREF,10.1002/9781118467398.ch13,,3,"https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781118467398.ch13
https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781118467398.ch13
http://dx.doi.org/10.1002/9781118467398.ch13"
,Implied Volatility Dynamics,2013-03-25 00:00:00,SupportedSources.CROSSREF,10.1002/9781118662724.ch5,,4,"https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781118662724.ch5
https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781118662724.ch5
http://dx.doi.org/10.1002/9781118662724.ch5"
"Gulisashvili, A.",More Formulas for Implied Volatility,2012-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-642-31214-4_10,,5,"http://link.springer.com/content/pdf/10.1007/978-3-642-31214-4_10.pdf
http://dx.doi.org/10.1007/978-3-642-31214-4_10"
"P. Friz,William Salkeld,T. Wagenhofer",Weak error estimates for rough volatility models,2022-12-03 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,,",",6,https://www.semanticscholar.org/paper/85ae5096a43b379e32675d06cc2cdb8cbe8295c8
"Neusser, K.",Models of Volatility,2016-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-319-32862-1_8,,7,"http://link.springer.com/content/pdf/10.1007/978-3-319-32862-1_8
http://dx.doi.org/10.1007/978-3-319-32862-1_8"
,Time Series Models for Volatility,2019-08-15 00:00:00,SupportedSources.CROSSREF,10.1017/9781108525947.021,,8,"https://www.cambridge.org/core/services/aop-cambridge-core/content/view/D8325BE9F7CF921371ECE95FD7473311
http://dx.doi.org/10.1017/9781108525947.021"
"Catania, L.",Dynamic Adaptive Mixture Models with an Application to Volatility and Risk,2019-06-14 00:00:00,SupportedSources.CROSSREF,10.1093/jjfinec/nbz018,,9,"http://academic.oup.com/jfec/article-pdf/19/4/531/40734387/nbz018.pdf
http://academic.oup.com/jfec/article-pdf/19/4/531/40734387/nbz018.pdf
http://dx.doi.org/10.1093/jjfinec/nbz018"
