authors,title,pub_date,source,doi,abstract,rank,url
B. Stemper,Rough volatility models,None,SupportedSources.SEMANTIC_SCHOLAR,10.14279/DEPOSITONCE-8422,,0,https://www.semanticscholar.org/paper/e93f0dae9a502077bc359e9408fe418eb1172b3d
Xiaoyan Zhang,Rough Volatility Modelling,None,SupportedSources.SEMANTIC_SCHOLAR,,,1,https://www.semanticscholar.org/paper/eb86e79a913c424e185f2c7548b46036814482bc
"Jun YU,,LIU, Xiaobin,SHI, Shuping",Persistent and rough volatility,2020-11-01 00:00:00,SupportedSources.CORE,,,2,https://core.ac.uk/download/359403242.pdf
,Volatility Models: An Overview,2015-09-19 00:00:00,SupportedSources.CROSSREF,10.1002/9781119202141.ch10,,3,"http://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2F9781119202141.ch10
https://onlinelibrary.wiley.com/doi/full/10.1002/9781119202141.ch10
http://dx.doi.org/10.1002/9781119202141.ch10"
,Volatility Models,2017-01-04 00:00:00,SupportedSources.CROSSREF,10.1002/9781119192190.ch7,,4,"https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2F9781119192190.ch7
https://onlinelibrary.wiley.com/doi/full/10.1002/9781119192190.ch7
http://dx.doi.org/10.1002/9781119192190.ch7"
Prof. Martino Grasselli,Stochastic volatility models,None,SupportedSources.SEMANTIC_SCHOLAR,10.1007/978-3-540-34604-3_11,,5,https://www.semanticscholar.org/paper/8ba2926a26589c3e1173658aea0a25b6ad49b279
,Stochastic Volatility Models,2016-08-26 00:00:00,SupportedSources.CROSSREF,10.1002/9781119289258.ch21,,6,"http://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2F9781119289258.ch21
https://onlinelibrary.wiley.com/doi/full/10.1002/9781119289258.ch21
http://dx.doi.org/10.1002/9781119289258.ch21"
"Ekstrand, C.",Stochastic Volatility Models,2011-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-642-22155-2_7,,7,"https://link.springer.com/content/pdf/10.1007/978-3-642-22155-2_7
http://dx.doi.org/10.1007/978-3-642-22155-2_7"
"Lutz, B.",Stochastic Volatility Models,2009-08-05 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-642-02909-7_4,,8,"http://link.springer.com/content/pdf/10.1007/978-3-642-02909-7_4.pdf
http://dx.doi.org/10.1007/978-3-642-02909-7_4"
,Stochastic Volatility Models,2019-11-04 00:00:00,SupportedSources.CROSSREF,10.1002/9781118630006.ch10,,9,"https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781118630006.ch10
https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781118630006.ch10
http://dx.doi.org/10.1002/9781118630006.ch10"
