authors,title,pub_date,source,doi,abstract,rank,url
"Sharp, K.",Stochastic differential equations in finance,1990-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/0096-3003(90)90041-z,,0,"https://api.elsevier.com/content/article/PII:009630039090041Z?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:009630039090041Z?httpAccept=text/plain
http://dx.doi.org/10.1016/0096-3003(90)90041-z"
M. Richter,Stochastic differential equations with applications in economics and finance,None,SupportedSources.SEMANTIC_SCHOLAR,,,1,https://www.semanticscholar.org/paper/022094bd2978c4e308e3f9a63e9369c675d335b5
C. Reisinger,Numerical solutions to a class of stochastic partial differential equations arising in finance,None,SupportedSources.SEMANTIC_SCHOLAR,,,2,https://www.semanticscholar.org/paper/4ee8554466c84318f0af479ae0a9e879167cad34
"Zheng, Z.",Numerical Analysis of Stochastic Differential Systems and its Applications in Finance,2004-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-0-8176-8180-7_12,,3,"http://link.springer.com/content/pdf/10.1007/978-0-8176-8180-7_12.pdf
http://dx.doi.org/10.1007/978-0-8176-8180-7_12"
S. Taniguchi,Stochastic Analytical Models in Mathematical Finance,None,SupportedSources.SEMANTIC_SCHOLAR,10.1007/978-4-431-55060-0_20,,4,https://www.semanticscholar.org/paper/1cb80baa9f7c0e04b0cbdf3b00a678fba6f1b9aa
"Baudoin, F.","Conditioned stochastic differential equations: theory, examples and application to finance",2002-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/s0304-4149(02)00109-6,,5,"https://api.elsevier.com/content/article/PII:S0304414902001096?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:S0304414902001096?httpAccept=text/plain
http://dx.doi.org/10.1016/s0304-4149(02)00109-6"
S. Craig,"Numerical approximation and parametric statistical inference of stochastic differential equations, with applications to finance",None,SupportedSources.SEMANTIC_SCHOLAR,,,6,https://www.semanticscholar.org/paper/dd9d46d1d08a3e808138928a416a4d0212c2e2cc
Rabab Alharbi,Nonlinear parabolic stochastic partial differential equation with application to finance,2021-01-18 00:00:00,SupportedSources.OPENALEX,,,7,https://openalex.org/W3138953334
"Maria C. Mariani,Osei K. Tweneboah",Stochastic differential equations applied to the study of geophysical and financial time series,2016-02-01 00:00:00,SupportedSources.OPENALEX,10.1016/j.physa.2015.09.080,,8,"https://openalex.org/W2178412283
https://doi.org/10.1016/j.physa.2015.09.080"
Yong Wang,Stochastic differential delay equation with jumps and application to finance,None,SupportedSources.SEMANTIC_SCHOLAR,,,9,https://www.semanticscholar.org/paper/149c4ea807b46b4c09768ee011599585c3a6df03
S. Shreve,Stochastic calculus for finance,None,SupportedSources.SEMANTIC_SCHOLAR,10.1007/978-0-387-22527-2,,10,"https://www.semanticscholar.org/paper/0eb020a3921d8e66c7270d38d0800404b075b701
https://link.springer.com/content/pdf/bfm%3A978-0-387-22527-2%2F1"
"Gianin, E.,Sgarra, C.",Partial Differential Equations in Finance,2013-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-319-01357-2_6,,11,"http://link.springer.com/content/pdf/10.1007/978-3-319-01357-2_6
http://dx.doi.org/10.1007/978-3-319-01357-2_6"
Ramona Westermann,Smoluchowski-Kramers Approximation for Stochastic Differential Equations and Applications in Behavioral Finance,None,SupportedSources.SEMANTIC_SCHOLAR,,,12,https://www.semanticscholar.org/paper/8dee16c215841197e16ae5137b980ac19b5b3321
"Mikkel Baadsgaard,Jan Nygaard Nielsen,H. Madsen,M. Preisel",Sampling Techniques in stochastic differential equations: Conference on Mathematical Finance,None,SupportedSources.SEMANTIC_SCHOLAR,,,13,https://www.semanticscholar.org/paper/92f059bcdbab4a70b1a15f63eb380695414abf08
"in 't Hout, K.",Numerical Partial Differential Equations in Finance Explained,2017-01-01 00:00:00,SupportedSources.CROSSREF,10.1057/978-1-137-43569-9,,14,"http://link.springer.com/content/pdf/10.1057/978-1-137-43569-9.pdf
http://link.springer.com/content/pdf/10.1057/978-1-137-43569-9
http://dx.doi.org/10.1057/978-1-137-43569-9"
"Kamien, M.",Stochastic Differential Equations: Applications in Economics and Management Science,2006-08-15 00:00:00,SupportedSources.CROSSREF,10.1002/0471667196.ess2586.pub2,,15,"https://onlinelibrary.wiley.com/doi/full/10.1002/0471667196.ess2586.pub2
http://dx.doi.org/10.1002/0471667196.ess2586.pub2"
K. Akdim,Bachward stochastic differential équations; variational inequalities and their applications in finance and stochastic control.,2006-12-01 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,,,16,https://www.semanticscholar.org/paper/4c0db5f83d390f1b6674e76534e6620bfb05f6a4
Kirati Thoednithi,Topics on Backward Stochastic Differential Equations and Information-Flow Modeling with Their Applications in Finance,2016-03-28 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,,,17,https://www.semanticscholar.org/paper/9f83bacaa0c4e6096a09b6d4719a8e0633c410ba
T. Cipra,Financial Stochastic Analysis,None,SupportedSources.SEMANTIC_SCHOLAR,10.1007/978-3-7908-2593-0_15,,18,https://www.semanticscholar.org/paper/a9a031bd44650ac12b2cfaec3a0f8be91949a8c3
"SenGupta, I.,Mariani, M.",Spherical Harmonics Applied to Differential and Integro-Differential Equations Arising in Mathematical Finance,2012-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/s12591-012-0107-9,,19,"http://link.springer.com/content/pdf/10.1007/s12591-012-0107-9.pdf
http://link.springer.com/article/10.1007/s12591-012-0107-9/fulltext.html
http://link.springer.com/content/pdf/10.1007/s12591-012-0107-9
http://dx.doi.org/10.1007/s12591-012-0107-9"
"Ali Safdari-Vaighani,Alfa Heryudono,Elisabeth Larsson",A Radial Basis Function Partition of Unity Collocation Method for Convection–Diffusion Equations Arising in Financial Applications,2015-08-01 00:00:00,SupportedSources.OPENALEX,10.1007/s10915-014-9935-9,,20,"https://openalex.org/W2044309282
https://doi.org/10.1007/s10915-014-9935-9
http://uu.diva-portal.org/smash/get/diva2:758463/FULLTEXT01"
"Nualart, D.,Pardoux, E.",Boundary Value Problems for Stochastic Differential Equations,1991-07-01 00:00:00,SupportedSources.CROSSREF,10.1214/aop/1176990337,,21,"http://projecteuclid.org/download/pdf_1/euclid.aop/1176990337
http://dx.doi.org/10.1214/aop/1176990337"
C. Tapiero,Applied Stochastic Models and Control for Finance and Insurance,1998-04-30 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.1007/978-1-4615-5823-1,,22,"https://www.semanticscholar.org/paper/ff3629ec0a194d5d7195627fcebdd3a594009001
https://link.springer.com/content/pdf/bfm:978-1-4615-5823-1/1?pdf=chapter%20toc"
G. Gagnon,Exchange rate bifurcation in a stochastic evolutionary finance model,2012-05-01 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.1007/S10203-011-0113-3,,23,https://www.semanticscholar.org/paper/58dbf678ba619934ad74f7b19a5df28f6fa26ec7
"Ekkehard W. Sachs,Arne K. Strauss",Efficient solution of a partial integro-differential equation in finance,2008-11-01 00:00:00,SupportedSources.OPENALEX,10.1016/j.apnum.2007.11.002,,24,"https://openalex.org/W2089072315
https://doi.org/10.1016/j.apnum.2007.11.002"
"Lescot, Paul,Valade, Laurène",Symmetries of partial differential equations and stochastic processes in mathematical physics and in finance,2019-04-01 00:00:00,SupportedSources.CORE,10.1088/1742-6596/1194/1/012070,International audienc,25,https://core.ac.uk/download/237318172.pdf
Martin L. Weitzman,Stochastic income and wealth,2004-01-01 00:00:00,SupportedSources.INTERNET_ARCHIVE,10.1016/j.japwor.2004.04.002,,26,https://web.archive.org/web/20190303022421/http://pdfs.semanticscholar.org/a60f/1c39c4a3bc022b19f209119770263e0df61e.pdf
