authors,title,pub_date,source,doi,abstract,rank,url
"Sharp, K.",Stochastic differential equations in finance,1990-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/0096-3003(90)90041-z,,0,"https://api.elsevier.com/content/article/PII:009630039090041Z?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:009630039090041Z?httpAccept=text/plain
http://dx.doi.org/10.1016/0096-3003(90)90041-z"
M. Richter,Stochastic differential equations with applications in economics and finance,None,SupportedSources.SEMANTIC_SCHOLAR,,,1,https://www.semanticscholar.org/paper/022094bd2978c4e308e3f9a63e9369c675d335b5
中山 季之,Stochastic differential equations and mathematical finance = 確率微分方程式と数理ファイナンス,None,SupportedSources.SEMANTIC_SCHOLAR,,,2,https://www.semanticscholar.org/paper/048ca54577c1d4fab6371de8f97cc8fb0c79e75f
"Gianin, E.,Sgarra, C.",Partial Differential Equations in Finance,2013-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-319-01357-2_6,,3,"http://link.springer.com/content/pdf/10.1007/978-3-319-01357-2_6
http://dx.doi.org/10.1007/978-3-319-01357-2_6"
"in 't Hout, K.",Numerical Partial Differential Equations in Finance Explained,2017-01-01 00:00:00,SupportedSources.CROSSREF,10.1057/978-1-137-43569-9,,4,"http://link.springer.com/content/pdf/10.1057/978-1-137-43569-9.pdf
http://link.springer.com/content/pdf/10.1057/978-1-137-43569-9
http://dx.doi.org/10.1057/978-1-137-43569-9"
S. Shreve,Stochastic calculus for finance,None,SupportedSources.SEMANTIC_SCHOLAR,10.1007/978-0-387-22527-2,,5,"https://www.semanticscholar.org/paper/0eb020a3921d8e66c7270d38d0800404b075b701
https://link.springer.com/content/pdf/bfm%3A978-0-387-22527-2%2F1"
"Baudoin, F.","Conditioned stochastic differential equations: theory, examples and application to finance",2002-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/s0304-4149(02)00109-6,,6,"https://api.elsevier.com/content/article/PII:S0304414902001096?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:S0304414902001096?httpAccept=text/plain
http://dx.doi.org/10.1016/s0304-4149(02)00109-6"
S. Taniguchi,Stochastic Analytical Models in Mathematical Finance,None,SupportedSources.SEMANTIC_SCHOLAR,10.1007/978-4-431-55060-0_20,,7,https://www.semanticscholar.org/paper/1cb80baa9f7c0e04b0cbdf3b00a678fba6f1b9aa
"Chau, K.W. (Ki)",Numerical finance with backward stochastic differential equations : an exploration of three schemes,2020-01-16 00:00:00,SupportedSources.CORE,,,8,https://core.ac.uk/download/301635310.pdf
Darrell Duffie,Book Review: Stochastic calculus for finance,2008-08-28 00:00:00,SupportedSources.INTERNET_ARCHIVE,10.1090/s0273-0979-08-01217-2,,9,https://web.archive.org/web/20180726115946/http://www.ams.org/journals/bull/2009-46-01/S0273-0979-08-01217-2/S0273-0979-08-01217-2.pdf
Byounguk Yoon,Backward Stochastic Differential Equations in Economics and Finance,None,SupportedSources.SEMANTIC_SCHOLAR,,,10,https://www.semanticscholar.org/paper/81a159282db0d3edab8417206b083e04700dafef
"Øksendal, B.,Sulem, A.",Backward Stochastic Differential Equations and Risk Measures,2019-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-030-02781-0_4,,11,"http://link.springer.com/content/pdf/10.1007/978-3-030-02781-0_4
http://dx.doi.org/10.1007/978-3-030-02781-0_4"
"Zheng, Z.",Numerical Analysis of Stochastic Differential Systems and its Applications in Finance,2004-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-0-8176-8180-7_12,,12,"http://link.springer.com/content/pdf/10.1007/978-0-8176-8180-7_12.pdf
http://dx.doi.org/10.1007/978-0-8176-8180-7_12"
,Linear difference equations in finance and economics,1997-06-12 00:00:00,SupportedSources.CROSSREF,10.1017/cbo9781139172660.010,,13,"https://www.cambridge.org/core/services/aop-cambridge-core/content/view/02500FE1F4D88D05B418F89D21534631
http://dx.doi.org/10.1017/cbo9781139172660.010"
"Delong, Ł.",Forward-Backward Stochastic Differential Equations,2013-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-1-4471-5331-3_4,,14,"https://link.springer.com/content/pdf/10.1007/978-1-4471-5331-3_4
http://dx.doi.org/10.1007/978-1-4471-5331-3_4"
Ramona Westermann,Smoluchowski-Kramers Approximation for Stochastic Differential Equations and Applications in Behavioral Finance,None,SupportedSources.SEMANTIC_SCHOLAR,,,15,https://www.semanticscholar.org/paper/8dee16c215841197e16ae5137b980ac19b5b3321
Kirati Thoednithi,Topics on Backward Stochastic Differential Equations and Information-Flow Modeling with Their Applications in Finance,2016-03-28 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,,,16,https://www.semanticscholar.org/paper/9f83bacaa0c4e6096a09b6d4719a8e0633c410ba
"Errais, E.",Financial Modeling: A Backward Stochastic Differential Equations Perspective,2015-02-25 00:00:00,SupportedSources.CROSSREF,10.1080/14697688.2014.1003959,,17,"http://www.tandfonline.com/doi/pdf/10.1080/14697688.2014.1003959
http://dx.doi.org/10.1080/14697688.2014.1003959"
"Giulia Di Nunno,Bernt Øksendal",Advanced Mathematical Methods for Finance,2011-01-01 00:00:00,SupportedSources.OPENALEX,10.1007/978-3-642-18412-3,,18,"https://openalex.org/W565584636
https://doi.org/10.1007/978-3-642-18412-3
https://biblio.ugent.be/publication/1245641/file/6752826.pdf"
"Antonelli, F.",Backward-Forward Stochastic Differential Equations,1993-08-01 00:00:00,SupportedSources.CROSSREF,10.1214/aoap/1177005363,,19,"http://projecteuclid.org/download/pdf_1/euclid.aoap/1177005363
http://dx.doi.org/10.1214/aoap/1177005363"
"Kamien, M.",Stochastic Differential Equations: Applications in Economics and Management Science,2006-08-15 00:00:00,SupportedSources.CROSSREF,10.1002/0471667196.ess2586.pub2,,20,"https://onlinelibrary.wiley.com/doi/full/10.1002/0471667196.ess2586.pub2
http://dx.doi.org/10.1002/0471667196.ess2586.pub2"
,Stochastic Differential Equations and Applications,1976-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/c2013-0-07333-1,,21,"https://api.elsevier.com/content/article/PII:C20130073331?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:C20130073331?httpAccept=text/plain
http://dx.doi.org/10.1016/c2013-0-07333-1"
"Friedman, A.",Stochastic Differential Equations and Applications,2010-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-642-11079-5_2,,22,"http://link.springer.com/content/pdf/10.1007/978-3-642-11079-5_2.pdf
http://dx.doi.org/10.1007/978-3-642-11079-5_2"
"Rota, G.",Stochastic differential equations and applications,1977-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/0001-8708(77)90127-x,,23,"https://api.elsevier.com/content/article/PII:000187087790127X?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:000187087790127X?httpAccept=text/plain
http://dx.doi.org/10.1016/0001-8708(77)90127-x"
,Stochastic Differential Equations and Applications,1975-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/c2013-0-07332-x,,24,"https://api.elsevier.com/content/article/PII:C2013007332X?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:C2013007332X?httpAccept=text/plain
http://dx.doi.org/10.1016/c2013-0-07332-x"
"Sobczyk, K.",Stochastic Differential Equations: Numerical Methods,1991-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-94-011-3712-6_6,,25,"http://link.springer.com/content/pdf/10.1007/978-94-011-3712-6_6.pdf
http://dx.doi.org/10.1007/978-94-011-3712-6_6"
,Appendix C: Stochastic Differential Equations,2005-01-28 00:00:00,SupportedSources.CROSSREF,10.1002/0471725315.app3,,26,"https://onlinelibrary.wiley.com/doi/full/10.1002/0471725315.app3
http://dx.doi.org/10.1002/0471725315.app3"
Nicolas Privault,Stochastic Finance: An Introduction with Market Examples,2013-12-20 00:00:00,SupportedSources.OPENALEX,,,27,https://openalex.org/W561654139
C. Hackl,Foundations of Mathematical Finance and Stochastic Calculus,None,SupportedSources.SEMANTIC_SCHOLAR,10.1007/978-3-658-04688-0_2,,28,https://www.semanticscholar.org/paper/8f656c710abf5c60c68b9d029caae4de1be75202
"Keisler, H.",Stochastic Differential Equations with Extra Properties,1997-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-94-011-5544-1_9,,29,"http://link.springer.com/content/pdf/10.1007/978-94-011-5544-1_9.pdf
http://dx.doi.org/10.1007/978-94-011-5544-1_9"
