authors,title,pub_date,source,doi,abstract,rank,url
"Ke Huang,Yi Mu,Fatemeh Rezaeibagha,Xiaosong Zhang",Zero-Knowledge Proof for Blockchain,2021-08-15 00:00:00,SupportedSources.OPENALEX,10.1201/9781003190127-8,,0,"https://openalex.org/W3203442351
https://doi.org/10.1201/9781003190127-8"
Antti Tani,Zero-knowledge proofs in blockchain applications,2020-01-01 00:00:00,SupportedSources.OPENALEX,,,1,https://openalex.org/W3138660209
"Lee, K.",Blockchain-based Personal Information Authentication Method using Zero Knowledge Proofs,2021-09-30 00:00:00,SupportedSources.CROSSREF,10.30693/smj.2021.10.3.48,,2,http://dx.doi.org/10.30693/smj.2021.10.3.48
"Xiaohui Yang,Wenjie Li",A zero-knowledge-proof-based digital identity management scheme in blockchain,2020-12-01 00:00:00,SupportedSources.OPENALEX,10.1016/j.cose.2020.102050,,3,"https://openalex.org/W3089741453
https://doi.org/10.1016/j.cose.2020.102050"
"Capraz, S.,Ozsoy, A.",Personal Data Protection in Blockchain with Zero-Knowledge Proof,2021-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-981-33-6470-7_7,,4,"http://link.springer.com/content/pdf/10.1007/978-981-33-6470-7_7
http://dx.doi.org/10.1007/978-981-33-6470-7_7"
K. Lee,Implementation of Personal Information Authentication Using Blockchain-Based Zero Knowledge Proofs,2022-10-31 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.7840/kics.2022.47.10.1598,,5,https://www.semanticscholar.org/paper/6c81dfe174da8cb1a8a3669472b62050d2cd507e
"Lídia Andrade Lourinho,Stefan Kendzierskyj,Hamid Jahankhani",Securing the digital witness identity using blockchain and zero-knowledge proofs,2021-01-01 00:00:00,SupportedSources.OPENALEX,10.1016/b978-0-12-821442-8.00010-0,,6,"https://openalex.org/W3127026570
https://doi.org/10.1016/b978-0-12-821442-8.00010-0"
"Sepehr Damavandi,Sadegh Dorri Nogoorani",An Electronic Voting Scheme Based on Blockchain Technology and Zero-Knowledge Proofs,None,SupportedSources.SEMANTIC_SCHOLAR,10.22042/isecure.2022.14.3.13,,7,https://www.semanticscholar.org/paper/8c3aa664bdf71c1ca85c057d921953b5de6ee171
"Pieprzyk, J.,Hardjono, T.,Seberry, J.",Zero-Knowledge Proof Systems,2003-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-662-07324-7_12,,8,"http://link.springer.com/content/pdf/10.1007/978-3-662-07324-7_12
http://dx.doi.org/10.1007/978-3-662-07324-7_12"
,Zero-Knowledge Proof Systems,2001-08-06 00:00:00,SupportedSources.CROSSREF,10.1017/cbo9780511546891.005,,9,"https://www.cambridge.org/core/services/aop-cambridge-core/content/view/18C36EBE57010ECA942D52C5304FE59E
http://dx.doi.org/10.1017/cbo9780511546891.005"
