authors,title,pub_date,source,doi,abstract,rank,url
"Ke Huang,Yi Mu,Fatemeh Rezaeibagha,Xiaosong Zhang",Zero-Knowledge Proof for Blockchain,2021-08-15 00:00:00,SupportedSources.OPENALEX,10.1201/9781003190127-8,,0,"https://openalex.org/W3203442351
https://doi.org/10.1201/9781003190127-8"
Antti Tani,Zero-knowledge proofs in blockchain applications,2020-01-01 00:00:00,SupportedSources.OPENALEX,,,1,https://openalex.org/W3138660209
"Konkin, A.,Zapechnikov, S.",Zero knowledge proof and ZK-SNARK for private blockchains,2023-03-09 00:00:00,SupportedSources.CROSSREF,10.1007/s11416-023-00466-1,,2,"https://link.springer.com/content/pdf/10.1007/s11416-023-00466-1.pdf
https://link.springer.com/article/10.1007/s11416-023-00466-1/fulltext.html
https://link.springer.com/content/pdf/10.1007/s11416-023-00466-1.pdf
http://dx.doi.org/10.1007/s11416-023-00466-1"
"Alessandra Scafuro,Luisa Siniscalchi,Ivan Visconti",Publicly Verifiable Proofs from Blockchains,2019-04-14 00:00:00,SupportedSources.OPENALEX,10.1007/978-3-030-17253-4_13,,3,"https://openalex.org/W2920530813
https://doi.org/10.1007/978-3-030-17253-4_13"
"LAGO, L.",Blockchain: trust through algorithms,2018-01-01 00:00:00,SupportedSources.CROSSREF,10.29327/212347.1-16en,,4,http://dx.doi.org/10.29327/212347.1-16en
"Gao, S.,Peng, Z.,Tan, F.,Zheng, Y.,Xiao, B.",SymmeProof: Compact Zero-Knowledge Argument for Blockchain Confidential Transactions,2022-01-01 00:00:00,SupportedSources.CROSSREF,10.1109/tdsc.2022.3179913,,5,"http://xplorestaging.ieee.org/ielx7/8858/4358699/09786741.pdf?arnumber=9786741
http://dx.doi.org/10.1109/tdsc.2022.3179913"
"Miguel D'iaz Montiel,R. Guerraoui,Pierre-Louis Roman",SurferMonkey: A Decentralized Anonymous Blockchain Intercommunication System via Zero Knowledge Proofs,2022-10-24 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.48550/arXiv.2210.13242,1 2,6,https://www.semanticscholar.org/paper/de4166f575497d48b1cec1cf32e9668404978907
"van Rijmenam, M.,Ryan, P.",Blockchain and Wicked Problems,2018-09-03 00:00:00,SupportedSources.CROSSREF,10.4324/9780429457715-1,,7,http://dx.doi.org/10.4324/9780429457715-1
,ZERO-KNOWLEDGE PROOFS IN BLOCKCHAIN,None,SupportedSources.SEMANTIC_SCHOLAR,,"The application of blockchain across the industries is limited to some degree by data privacy concerns. While it eliminates the need for trusted third parties, information shared on the blockchain is exposed to all members within the network. This paper examines how zero-knowledge proofs, an upcoming technique, can address issues around sharing excessive information on blockchain networks. It looks at different techniques of zero-knowledge proofs, describes how information is shielded, and discusses some use cases such as personal data protection.",8,https://www.semanticscholar.org/paper/56279a872831b1ab3dae789bdf69f0b494c0ccca
"Fu, S.,Gong, G.",Pisces: A New Zero-Knowledge Protocol for Blockchain Privacy,2021-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-030-70881-8_12,,9,"http://link.springer.com/content/pdf/10.1007/978-3-030-70881-8_12
http://dx.doi.org/10.1007/978-3-030-70881-8_12"
